id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
66136,common,167,volleyball,volleyball,,2022-11-22T03:10:35.038Z,2000,1372,,0,0,0,0
47310,rare,22500,burger,burger,,2022-10-30T04:48:59.424Z,150,150,1.0,3106,1502,612.55,0
65007,rare,10000,frankie,frankie,,2022-11-10T07:28:30.866Z,150,150,3.0,0,0,0,0
1744,legendary,70000,waffle2,waffle2,,2022-11-14T17:23:04.265Z,21,21,3.0,32095,20382,1559.44,5100
41545,epic,13000,citrus,citrus,,2022-08-16T01:00:13.265Z,50,50,8.0,5507,2102,49.85,0
50815,rare,3499,wheeee,wheeee,,2022-10-13T15:46:37.278Z,150,150,17.0,662,301,158.88,0
52611,epic,29500,ghost,ghost,,2022-11-21T15:37:56.170Z,50,50,24.0,47290,25257,10629.64,24740
47410,rare,5700,burger,burger,,2022-10-15T11:14:56.573Z,150,150,32.0,9443,3268,651.82,0
41800,rare,2250,jackolantern,jackolantern,,2022-11-04T23:05:22.182Z,150,150,19.0,1775,784,78.34,0
988,epic,9500,devil,devil,,2022-10-23T16:50:34.353Z,85,85,26.0,1919,848,24.15,0
46840,rare,3000,cherry,cherry,,2022-11-21T04:08:59.087Z,100,100,47.0,1386,573,21.50,0
56522,common,250,vase,vase,,2022-11-21T16:14:26.870Z,2000,1445,1056.0,9,8,0.4,0
42192,epic,13500,royman,royman,,2022-11-16T15:15:07.240Z,50,50,34.0,23124,8209,69.73,0
46405,rare,5000,peach,peach,,2022-10-13T17:57:16.399Z,100,100,69.0,572,255,8.11,0
40276,uncommon,8000,derp,derp,,2022-11-21T04:09:36.852Z,420,420,75.0,30292,10859,1776.28,4590
59231,rare,2700,cougar,cougar,,2022-11-22T01:47:01.788Z,150,150,75.0,786,338,3.92,50
65080,rare,6900,frankie,frankie,,2022-11-07T02:25:52.421Z,150,150,76.0,0,0,0,0
65085,rare,3200,frankie,frankie,,2022-11-19T08:34:36.056Z,150,150,81.0,0,0,0,0
10729,rare,2000,melon,melon,,2022-09-26T12:59:47.658Z,288,288,96.0,1702,789,19.60,0
50928,uncommon,2500,ufo,ufo,,2022-11-21T04:07:43.139Z,600,600,104.0,61,30,0.63,0
49126,rare,5500,burger,burger,,2022-10-17T23:13:34.953Z,150,150,105.0,443,215,8.39,0
48718,rare,9523.809,gamer,gamer,,2022-11-04T01:26:49.076Z,100,100,68.0,674,333,11.24,0
11029,rare,1700,melon,melon,,2022-11-20T18:26:36.724Z,288,288,110.0,753,347,38.81,0
50827,rare,3499,wheeee,wheeee,,2022-10-13T15:46:54.503Z,150,150,29.0,464,225,27.11,0
36761,epic,9000,tamagochi,tamagochi,,2022-11-18T12:28:29.591Z,77,77,77.0,2865,1185,31.44,0
59281,rare,3050,cougar,cougar,,2022-11-21T19:45:20.362Z,150,150,125.0,4719,1241,0,0
65134,rare,5000,frankie,frankie,,2022-10-31T01:34:19.984Z,150,150,130.0,0,0,0,0
42517,epic,23000,shades,shades,,2022-11-10T02:52:23.981Z,50,50,23.0,51555,22784,11003.05,1750
44943,rare,2400,jackolantern,jackolantern,,2022-11-07T13:59:12.233Z,150,150,130.0,2978,1509,59.31,670
49334,rare,6800,floater,floater,,2022-11-13T03:41:21.861Z,150,150,40.0,783,350,14.67,0
56531,rare,5600,ladybug,ladybug,,2022-10-31T21:01:16.574Z,150,150,148.0,272,124,5.49,0
1468,rare,3000,coconut,coconut,,2022-03-01T10:35:46.187Z,291,291,113.0,2,1,0,0
4434,rare,2500,eyeball,eyeball,,2022-09-17T18:12:10.842Z,295,295,157.0,4296,1263,2.4,0
47657,uncommon,700,dog,dog,,2022-11-20T10:10:01.712Z,600,600,115.0,1352,679,137.43,0
64718,rare,2099,banana,banana,,2022-11-20T13:26:19.502Z,150,150,163.0,0,0,0,0
49170,rare,6000,burger,burger,,2022-10-17T23:12:00.012Z,150,150,149.0,366,174,12.60,0
11612,rare,3000,melon,melon,,2022-01-24T23:35:29.917Z,288,288,140.0,0,0,0,0
65039,rare,4009,frankie,frankie,,2022-11-21T03:29:56.122Z,150,150,35.0,25,21,14.19,0
2043,uncommon,1200,tomato,tomato,,2022-11-19T20:54:40.957Z,777,777,200.0,9029,2948,1.7,100
65026,rare,2900,frankie,frankie,,2022-11-10T07:17:38.905Z,150,150,22.0,0,0,0,0
13182,rare,1900,melon,melon,,2022-10-20T08:44:50.172Z,288,288,210.0,1114,469,11.43,0
51301,uncommon,3200,ufo,ufo,,2022-11-21T04:08:05.374Z,600,600,194.0,1734,807,347.92,0
42638,epic,8999,snowman,snowman,,2022-11-09T12:48:04.292Z,50,50,20.0,7043,3386,513.52,0
45314,uncommon,1000,derp,derp,,2022-11-21T13:32:53.291Z,420,420,218.0,367,145,4.99,0
2532,rare,3000,coconut,coconut,,2022-01-26T16:57:13.870Z,291,291,217.0,809,270,0,0
43099,common,550,soccerball,soccerball,,2022-11-21T21:14:30.141Z,2000,2000,230.0,385,159,1.0,500
65018,rare,3500,frankie,frankie,,2022-11-15T23:06:28.905Z,150,150,14.0,0,0,0,850
10213,epic,7800,disguise,disguise,,2022-11-09T14:17:20.185Z,77,77,35.0,1002,365,18.21,0
51609,uncommon,2600,ufo,ufo,,2022-11-20T00:37:51.574Z,600,600,254.0,47,16,0,0
48047,uncommon,1200,cat,cat,,2022-11-21T15:44:44.712Z,600,600,254.0,709,385,1.39,0
53784,uncommon,550,panda,panda,,2022-11-21T08:17:52.142Z,600,600,255.0,0,0,0,0
7724,rare,3000,eyeball,eyeball,,2022-10-31T00:22:23.439Z,295,295,257.0,312,118,0,0
53926,uncommon,550,panda,panda,,2022-11-21T08:15:58.197Z,600,600,257.0,0,0,0,0
38418,rare,4500,bowie,bowie,,2022-07-16T19:22:13.969Z,336,336,270.0,536,199,5.22,0
53260,uncommon,800,opencan,opencan,,2022-11-19T18:36:27.770Z,600,600,272.0,90,49,2.12,0
8003,rare,1800,eyeball,eyeball,,2022-11-13T03:39:36.239Z,295,295,274.0,1394,533,10.53,0
11886,rare,2500,marble,marble,,2022-10-25T12:37:52.547Z,290,290,279.0,0,0,0,0
50841,rare,3499,wheeee,wheeee,,2022-10-13T15:46:41.207Z,150,150,43.0,488,219,6.63,0
47,rare,10000,cherry,cherry,,2022-10-30T04:55:09.073Z,100,100,3.0,4074,1592,41.41,0
2158,epic,8500,devil,devil,,2022-11-21T12:07:22.008Z,85,85,78.0,1295,586,25.46,0
8698,rare,3000,eyeball,eyeball,,2022-10-20T18:21:45.628Z,295,295,307.0,1526,611,7.88,0
40861,common,600,alien,alien,,2022-11-22T00:44:17.051Z,2000,2000,307.0,775,389,1.53,1250
49131,rare,6000,burger,burger,,2022-10-17T23:13:14.928Z,150,150,110.0,579,245,61.31,0
49084,rare,3500,gamer,gamer,,2022-11-21T04:02:31.273Z,100,100,80.0,549,271,8.53,0
49130,rare,3750,burger,burger,,2022-11-17T22:54:55.607Z,150,150,109.0,560,312,104.30,0
49259,rare,3500,gamer,gamer,,2022-11-21T04:02:53.902Z,100,100,89.0,578,303,6.60,0
3721,uncommon,650,target,target,,2022-11-21T16:28:02.617Z,755,755,31.0,796,316,5.85,50
50925,rare,3808.57,wheeee,wheeee,,2022-09-15T13:49:34.325Z,150,150,121.0,351,171,4.77,0
1347,uncommon,3000,tomato,tomato,,2022-11-21T00:39:35.663Z,777,777,5.0,318,124,2.96,0
