id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
50809,rare,3850,wheeee,wheeee,,2023-03-11T03:24:49.120Z,192.50,150,150,11,444,225,7.82,0
59162,rare,6000,cougar,cougar,,2022-12-16T03:36:22.299Z,300.00,150,150,11,62,26,2.19,150
70778,epic,17500,bat,bat,,2023-03-06T15:06:57.310Z,875.00,50,50,14,0,0,0,850
70789,epic,24300,bat,bat,,2023-03-06T02:23:42.129Z,1215.00,50,50,25,0,0,0,0
3721,uncommon,1200,target,target,,2023-03-15T11:42:16.921Z,60.00,747,747,31,995,397,35.88,50
45817,epic,35000,angel,angel,,2023-02-12T11:35:38.801Z,1750.00,50,50,37,6473,3259,145.43,0
45406,epic,11500,discoball,discoball,,2023-01-24T14:30:31.213Z,575.00,53,53,39,1498,707,33.80,0
70806,epic,16000,bat,bat,,2023-03-15T22:33:54.345Z,800.00,50,50,42,995,429,42.24,0
50268,rare,3200,floater,floater,,2023-03-16T02:54:51.558Z,160.00,150,150,57,718,282,28.45,1000
59221,rare,5000,cougar,cougar,,2022-09-17T17:22:15.691Z,250.00,150,150,65,0,0,0,0
54135,rare,5000,floater,floater,,2023-02-26T06:49:04.248Z,250.00,150,150,91,266,141,6.62,0
56453,rare,8000,ladybug,ladybug,,2022-10-30T14:48:35.523Z,400.00,150,150,91,5886,2816,640.14,4750
54400,rare,5000,floater,floater,,2023-02-26T06:50:05.216Z,250.00,150,150,96,218,111,5.02,0
46545,rare,5000,ninja,ninja,,2023-03-13T08:11:21.982Z,250.00,100,100,100,1117,515,18.33,0
56976,rare,9523.81,ninja,ninja,,2022-12-14T07:33:46.830Z,476.1905,100,100,102,362,177,4.10,0
54875,rare,5000,floater,floater,,2023-02-26T06:51:26.854Z,250.00,150,150,121,145,74,5.68,0
59285,rare,3900,cougar,cougar,,2023-03-12T18:03:07.569Z,195.00,150,150,129,183,85,3.04,0
55114,rare,5000,floater,floater,,2023-02-26T06:50:00.421Z,250.00,150,150,137,229,107,4.69,0
59295,rare,5000,cougar,cougar,,2023-03-15T13:17:32.376Z,250.00,150,150,139,152,73,1.65,3720
51011,rare,5000,wheeee,wheeee,,2023-03-07T20:46:12.359Z,250.00,150,150,146,3408,1592,138.13,50
69999,rare,9000,cougar,cougar,,2023-03-15T15:58:47.401Z,450.00,150,150,153,97,36,0.25,0
54700,rare,5000,floater,floater,,2023-02-26T06:52:13.669Z,250.00,150,150,107,70,42,1.72,0
58871,rare,8000,wheeee,wheeee,,2022-08-05T09:17:49.716Z,400.00,150,150,151,0,0,0,0
11612,rare,3000,melon,melon,,2022-01-24T23:35:29.917Z,150.00,272,272,140,0,0,0,0
49130,rare,5000,burger,burger,,2023-03-14T21:11:03.362Z,250.00,150,150,109,587,330,104.30,750
47657,uncommon,1000,dog,dog,,2023-03-14T18:24:27.611Z,50.00,600,600,115,2804,1214,170.93,1300
52912,rare,3000,banana,banana,,2023-02-09T13:05:55.391Z,150.00,150,150,129,43,18,0.73,0
55027,rare,5000,floater,floater,,2023-02-26T06:49:17.967Z,250.00,150,150,130,318,151,4.71,0
2344,rare,1850,coconut,coconut,,2022-11-29T13:01:01.011Z,92.50,287,287,210,190,80,2.64,0
38238,rare,1550,bowie,bowie,,2023-01-24T14:31:18.367Z,77.50,320,320,114,567,248,5.04,0
2532,rare,3000,coconut,coconut,,2022-01-26T16:57:13.870Z,150.00,287,287,217,809,270,0,0
52051,rare,5000,floater,floater,,2023-02-26T06:51:00.633Z,250.00,150,150,70,210,106,5.23,0
64996,epic,20000,mummy,mummy,,2023-03-15T23:49:23.371Z,1000.00,50,50,42,6899,3829,135.76,20870
67550,uncommon,1051,earth,earth,,2023-03-14T19:32:05.772Z,52.55,600,600,259,0,0,0,0
67457,uncommon,3100,earth,earth,,2023-03-15T00:09:44.890Z,155.00,600,600,171,766,501,231.50,440
5230,rare,1995,eyeball,eyeball,,2023-03-01T16:40:09.099Z,99.75,289,289,199,2345,938,46.32,0
47418,rare,13499,candyswirl,candyswirl,,2023-03-16T01:45:07.762Z,674.95,100,100,71,895,425,21.20,560
59274,rare,19500,cougar,cougar,,2023-03-13T23:11:52.488Z,975.00,150,150,118,8977,4872,35.56,1110
46315,uncommon,1950,derp,derp,,2023-03-15T13:56:33.681Z,97.50,420,420,285,198,81,2.78,0
4543,uncommon,500,target,target,,2023-03-15T20:48:29.246Z,25.00,747,747,217,382,142,2.69,0
58342,uncommon,2200,casinochip,casinochip,,2023-03-13T22:10:59.398Z,110.00,600,600,292,0,0,0,0
52177,uncommon,1900,bomb,bomb,,2023-03-15T07:08:36.089Z,95.00,600,600,218,299,112,0.66,1750
55094,rare,5000,floater,floater,,2023-02-26T06:48:52.885Z,250.00,150,150,135,213,134,6.48,0
38418,rare,8999,bowie,bowie,,2023-01-18T18:46:15.044Z,449.95,320,320,270,572,202,32.61,1250
70808,epic,13300,bat,bat,,2023-03-15T19:50:01.143Z,665.00,50,50,44,40,15,0,170
67597,uncommon,2500,earth,earth,,2023-03-14T07:57:30.482Z,125.00,600,600,299,64,27,0,0
56206,uncommon,2100,casinochip,casinochip,,2023-03-14T13:51:25.194Z,105.00,600,600,241,123,60,1.79,0
59306,rare,5000,cougar,cougar,,2023-02-03T17:00:19.859Z,250.00,150,150,150,45,29,0.33,730
20321,uncommon,1500,donut,donut,,2023-03-15T18:04:46.575Z,75.00,746,746,320,1134,437,6.79,0
67452,uncommon,1000,earth,earth,,2023-03-15T10:29:38.618Z,50.00,600,600,166,188,100,13.20,170
3802,rare,1850,eyeball,eyeball,,2022-11-29T14:49:55.684Z,92.50,289,289,118,1635,620,225.53,0
47031,uncommon,1950,derp,derp,,2023-03-15T13:56:35.546Z,97.50,420,420,333,206,102,5.02,0
13749,rare,1700,marble,marble,,2022-12-07T17:04:15.414Z,85.00,288,288,343,1170,429,4.38,0
59055,uncommon,2250,casinochip,casinochip,,2023-03-14T13:51:29.241Z,112.50,600,600,344,101,51,0.33,50
70776,epic,25000,bat,bat,,2023-03-15T17:39:48.860Z,1250.00,50,50,12,0,0,0,720
50925,rare,4500,wheeee,wheeee,,2023-02-18T18:53:13.476Z,225.00,150,150,121,351,171,4.77,0
14775,rare,2500,marble,marble,,2023-03-15T18:04:58.860Z,125.00,288,288,387,1064,589,11.89,0
56359,rare,8500,ladybug,ladybug,,2022-12-28T18:00:29.824Z,425.00,150,150,2,675,341,57.23,0
65094,rare,3500,frankie,frankie,,2022-11-06T22:59:35.201Z,175.00,150,150,90,171,75,0,0
52729,uncommon,3800,ufo,ufo,,2023-03-14T12:59:36.970Z,190.00,600,600,400,4176,2587,1230.31,0
70792,epic,13000,bat,bat,,2023-03-13T11:31:45.281Z,650.00,50,50,28,173,125,41.08,1000
4468,rare,1850,coconut,coconut,,2022-11-29T13:00:57.721Z,92.50,287,287,314,119,66,3.18,0
43262,uncommon,3000,skull,skull,,2023-03-13T14:09:55.255Z,150.00,653,653,333,522,257,5.65,0
63823,uncommon,750,watermelon,watermelon,,2023-03-16T00:27:35.067Z,37.50,600,600,420,278,156,172.59,0
59189,rare,16428.57142857,cougar,cougar,,2023-03-13T06:14:56.343Z,821.4285714285,150,150,38,55882,26119,6930.44,28050
70798,epic,25000,bat,bat,,2023-03-06T13:35:15.712Z,1250.00,50,50,34,0,0,0,0
70780,epic,22850,bat,bat,,2023-03-06T13:00:46.364Z,1142.50,50,50,16,0,0,0,2020
52368,uncommon,2900,casinochip,casinochip,,2023-03-13T13:40:22.674Z,145.00,600,600,176,253,122,3.58,0
56657,uncommon,590,opencan,opencan,,2023-03-14T06:50:20.836Z,29.50,600,600,456,66,29,1.32,0
54764,uncommon,590,opencan,opencan,,2023-03-14T06:50:24.181Z,29.50,600,600,368,76,31,1.46,0
58393,common,1500,virus,virus,,2023-03-15T18:05:13.346Z,75.00,2000,2000,266,647,330,0.73,0
901,epic,15000,devil,devil,,2022-10-30T04:54:34.964Z,750.00,81,81,2,4825,1854,45.04,0
10794,rare,1620,eyeball,eyeball,,2022-12-30T13:38:12.160Z,81.00,289,289,384,1230,493,14.12,0
61718,uncommon,1150,watermelon,watermelon,,2023-03-15T01:40:19.611Z,57.50,600,600,269,502,168,23.80,1420
67339,uncommon,2500,earth,earth,,2023-03-15T15:59:00.140Z,125.00,600,600,53,3763,1453,0,2500
65974,epic,16000,dragon,dragon,,2023-01-01T22:26:46.204Z,800.00,50,50,51,0,0,0,0
61181,epic,7900,citrus,citrus,,2023-03-06T21:10:01.702Z,395.00,50,50,57,10,4,0,0
54341,uncommon,3000,ufo,ufo,,2023-03-13T10:08:28.138Z,150.00,600,600,519,50,32,0.4,0
64134,uncommon,1900,watermelon,watermelon,,2023-03-13T23:04:36.570Z,95.00,600,600,523,12,3,0,0
2103,epic,15000,devil,devil,,2022-08-09T15:43:16.472Z,750.00,81,81,76,4490,1825,9.3,0
58031,uncommon,10500,moon,moon,,2023-03-15T15:54:40.417Z,525.00,600,600,299,49,24,0.99,0
4297,rare,1580,eyeball,eyeball,,2023-03-06T05:34:00.161Z,79.00,289,289,151,69,31,0.99,0
61534,uncommon,3500,casinochip,casinochip,,2023-03-14T15:01:05.511Z,175.00,600,600,550,21,12,1.32,0
55121,rare,5000,floater,floater,,2023-02-26T06:48:32.336Z,250.00,150,150,138,260,138,35.76,0
3107,rare,1820,coconut,coconut,,2022-12-07T17:11:12.141Z,91.00,287,287,249,1319,570,13.58,0
54746,rare,5000,floater,floater,,2023-02-26T06:51:09.750Z,250.00,150,150,109,194,93,4.24,0
57187,uncommon,3500,casinochip,casinochip,,2023-03-14T15:04:34.705Z,175.00,600,600,258,85,37,0.73,0
52488,uncommon,3000,ufo,ufo,,2023-03-13T10:08:37.573Z,150.00,600,600,371,67,28,0.66,0
47308,uncommon,1950,derp,derp,,2023-03-15T13:56:31.742Z,97.50,420,420,356,165,76,6.04,0
55842,common,1500,clock,clock,,2023-03-15T18:07:42.471Z,75.00,2000,2000,317,44,22,1.06,0
62601,uncommon,600,dog,dog,,2023-03-14T06:49:51.860Z,30.00,600,600,577,2,1,0,0
67912,uncommon,1025,earth,earth,,2023-03-14T06:50:05.406Z,51.25,600,600,583,0,0,0,0
