rarity,name,date,on_sale_price
common,8ball,2022-10-31,"120,0"
common,alien,2022-10-31,"159,0"
epic,angel,2022-10-31,"17000,0"
epic,ape,2022-10-31,"16500,0"
rare,banana,2022-10-31,"1850,0"
epic,baseball,2022-10-31,"7300,0"
common,basketball,2022-10-31,"140,0"
common,beachball,2022-10-31,"100,0"
uncommon,bomb,2022-10-31,"799,0"
legendary,botroyale,2022-10-31,"141200,0"
rare,bowie,2022-10-31,"1300,0"
common,bowling,2022-10-31,"170,0"
uncommon,bull,2022-10-31,"450,0"
rare,burger,2022-10-31,"4100,0"
common,button,2022-10-31,"100,0"
rare,candyswirl,2022-10-31,"4320,0"
uncommon,casinochip,2022-10-31,"610,0"
uncommon,cat,2022-10-31,"1000,0"
rare,cherry,2022-10-31,"2400,0"
epic,citrus,2022-10-31,"9000,0"
common,clock,2022-10-31,"110,0"
rare,coconut,2022-10-31,"1575,0"
rare,cougar,2022-10-31,"2350,0"
common,crosshair,2022-10-31,"480,0"
uncommon,cute,2022-10-31,"475,0"
uncommon,derp,2022-10-31,"1700,0"
epic,devil,2022-10-31,"9300,0"
epic,discoball,2022-10-31,"12000,0"
epic,disguise,2022-10-31,"7000,0"
rare,diver,2022-10-31,"3800,0"
uncommon,dog,2022-10-31,"490,0"
uncommon,donut,2022-10-31,"370,0"
epic,dragon,2022-10-31,"12950,0"
rare,egg,2022-10-31,"12000,0"
rare,eyeball,2022-10-31,"1300,0"
epic,eyeball2,2022-10-31,"30000,0"
uncommon,fishcake,2022-10-31,"350,0"
rare,floater,2022-10-31,"5000,0"
uncommon,fox,2022-10-31,"550,0"
legendary,fox777,2022-10-31,"200000,0"
rare,frankie,2022-10-31,"3500,0"
rare,gamer,2022-10-31,"5000,0"
epic,ghost,2022-10-31,"23000,0"
rare,jackolantern,2022-10-31,"2000,0"
rare,ladybug,2022-10-31,"5600,0"
rare,marble,2022-10-31,"1550,0"
rare,melon,2022-10-31,"1100,0"
uncommon,moon,2022-10-31,"2940,0"
epic,mummy,2022-10-31,"14000,0"
rare,ninja,2022-10-31,"4000,0"
uncommon,opencan,2022-10-31,"730,0"
epic,owl,2022-10-31,"17000,0"
uncommon,panda,2022-10-31,"500,0"
rare,peach,2022-10-31,"2800,0"
rare,pizza,2022-10-31,"3000,0"
epic,potion,2022-10-31,"11427,619047619048"
uncommon,racoon,2022-10-31,"900,0"
uncommon,revolver,2022-10-31,"535,0"
epic,royman,2022-10-31,"10000,0"
common,saturn,2022-10-31,"140,0"
epic,shades,2022-10-31,"13500,0"
uncommon,skull,2022-10-31,"1750,0"
rare,skullpatch,2022-10-31,"2500,0"
epic,snowman,2022-10-31,"10000,0"
common,soccerball,2022-10-31,"150,0"
legendary,spy,2022-10-31,"120000,0"
common,starball,2022-10-31,"100,0"
epic,tamagochi,2022-10-31,"9000,0"
uncommon,target,2022-10-31,"350,0"
uncommon,tomato,2022-10-31,"375,0"
uncommon,ufo,2022-10-31,"1400,0"
common,vase,2022-10-31,"125,0"
common,virus,2022-10-31,"129,0"
common,volleyball,2022-10-31,"150,0"
uncommon,waffle,2022-10-31,"400,0"
legendary,waffle2,2022-10-31,"90000,0"
uncommon,watermelon,2022-10-31,"550,0"
rare,wheeee,2022-10-31,"3200,0"
cosmetic,worldcup,2022-10-31,"3000,0"
epic,xmasball,2022-10-31,"9000,0"
rare,xmasball1,2022-10-31,"8000,0"
common,xmasball2,2022-10-31,"100,0"
uncommon,yinyang,2022-10-31,"380,0"
common,8ball,2022-11-01,"110,0"
common,alien,2022-11-01,"200,0"
epic,angel,2022-11-01,"17000,0"
epic,ape,2022-11-01,"16500,0"
rare,banana,2022-11-01,"1850,0"
epic,baseball,2022-11-01,"7300,0"
common,basketball,2022-11-01,"140,0"
common,beachball,2022-11-01,"100,0"
uncommon,bomb,2022-11-01,"799,0"
legendary,botroyale,2022-11-01,"141200,0"
rare,bowie,2022-11-01,"1300,0"
common,bowling,2022-11-01,"160,0"
uncommon,bull,2022-11-01,"450,0"
rare,burger,2022-11-01,"4100,0"
common,button,2022-11-01,"100,0"
rare,candyswirl,2022-11-01,"4320,0"
uncommon,casinochip,2022-11-01,"610,0"
uncommon,cat,2022-11-01,"850,0"
rare,cherry,2022-11-01,"2500,0"
epic,citrus,2022-11-01,"9000,0"
common,clock,2022-11-01,"122,0"
rare,coconut,2022-11-01,"1575,0"
rare,cougar,2022-11-01,"2300,0"
common,crosshair,2022-11-01,"480,0"
uncommon,cute,2022-11-01,"475,0"
uncommon,derp,2022-11-01,"1700,0"
epic,devil,2022-11-01,"8000,0"
epic,discoball,2022-11-01,"11111,0"
epic,disguise,2022-11-01,"8000,0"
rare,diver,2022-11-01,"3800,0"
uncommon,dog,2022-11-01,"490,0"
uncommon,donut,2022-11-01,"370,0"
epic,dragon,2022-11-01,"12900,0"
rare,egg,2022-11-01,"12000,0"
rare,eyeball,2022-11-01,"1300,0"
epic,eyeball2,2022-11-01,"30000,0"
uncommon,fishcake,2022-11-01,"350,0"
rare,floater,2022-11-01,"5000,0"
uncommon,fox,2022-11-01,"550,0"
legendary,fox777,2022-11-01,"200000,0"
rare,frankie,2022-11-01,"3690,0"
rare,gamer,2022-11-01,"5000,0"
epic,ghost,2022-11-01,"23000,0"
rare,jackolantern,2022-11-01,"2000,0"
rare,ladybug,2022-11-01,"5600,0"
rare,marble,2022-11-01,"1450,0"
rare,melon,2022-11-01,"1100,0"
uncommon,moon,2022-11-01,"3800,0"
epic,mummy,2022-11-01,"14200,0"
rare,ninja,2022-11-01,"5000,0"
uncommon,opencan,2022-11-01,"1100,0"
epic,owl,2022-11-01,"17000,0"
uncommon,panda,2022-11-01,"500,0"
rare,peach,2022-11-01,"2800,0"
rare,pizza,2022-11-01,"3000,0"
epic,potion,2022-11-01,"11427,619047619048"
uncommon,racoon,2022-11-01,"900,0"
uncommon,revolver,2022-11-01,"625,0"
epic,royman,2022-11-01,"9000,0"
common,saturn,2022-11-01,"140,0"
epic,shades,2022-11-01,"13500,0"
uncommon,skull,2022-11-01,"1750,0"
rare,skullpatch,2022-11-01,"2500,0"
epic,snowman,2022-11-01,"10000,0"
common,soccerball,2022-11-01,"150,0"
legendary,spy,2022-11-01,"120000,0"
common,starball,2022-11-01,"100,0"
epic,tamagochi,2022-11-01,"9000,0"
uncommon,target,2022-11-01,"350,0"
uncommon,tomato,2022-11-01,"375,0"
uncommon,ufo,2022-11-01,"1400,0"
common,vase,2022-11-01,"150,0"
common,virus,2022-11-01,"129,0"
common,volleyball,2022-11-01,"300,0"
uncommon,waffle,2022-11-01,"400,0"
legendary,waffle2,2022-11-01,"90000,0"
uncommon,watermelon,2022-11-01,"545,0"
rare,wheeee,2022-11-01,"3200,0"
cosmetic,worldcup,2022-11-01,"3100,0"
epic,xmasball,2022-11-01,"9000,0"
rare,xmasball1,2022-11-01,"8000,0"
common,xmasball2,2022-11-01,"100,0"
uncommon,yinyang,2022-11-01,"380,0"
common,8ball,2022-11-02,"130,0"
common,alien,2022-11-02,"190,0"
epic,angel,2022-11-02,"17000,0"
epic,ape,2022-11-02,"16500,0"
rare,banana,2022-11-02,"1850,0"
epic,baseball,2022-11-02,"7990,0"
common,basketball,2022-11-02,"120,0"
