,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,2,spy,legendary,29,24,1,300.000000000000000000,32.0316000000000000,320.316,10,10,16,129084.138000000000000000,1,286499,47,574.149728144372,574.149728144372,57.414972814437206,24,,,,
4,4,8ball,common,29,24,1,0,4.1505380753138075,14879.679,3316,3609,16,120.400000000000000000,0,157497,106,8.207385064011124,8.207385064011124,0.0024750859662277212,71,,,,
7,7,alien,common,29,24,1,0,4.5968785000000000,9193.757,2000,2000,16,128.400000000000000000,0,61992,33,33.175905166916564,33.175905166916564,0.01658795258345828,56,,,,
8,8,angel,epic,24,29,1,0,17.3774400000000000,868.872,50,50,33,17000,1,329029,82,449.43326653445735,449.43326653445735,8.988665330689146,26,,,,
9,9,banana,rare,29,29,1,0,7.8171000000000000,1172.565,150,150,26,1800,0,12198,6,84.61800226341195,84.61800226341195,0.564120015089413,46,,,,
11,11,basketball,common,29,29,1,0,3.9151126427727452,9940.471,2340,4300,16,150,0,9191,31,46.11763089135478,46.11763089135478,0.019708389269809733,53,,,,
12,12,beachball,common,29,29,1,0,3.6191328509406657,12504.104,3219,3523,16,100,0,60698,42,21.299666527255802,21.299666527255802,0.006616858194239143,60,,,,
13,13,bomb,uncommon,29,24,1,0,5.0000300000000000,3000.018,600,600,32,754.000000000000000000,1,539796,263,1199.1658736581487,1199.1658736581487,1.998609789430248,7,,,,
14,14,shades,epic,29,29,1,0,14.5385200000000000,726.926,50,50,16,13080.000000000000000000,0,162837,43,8.485659800938299,8.485659800938299,0.16971319601876597,69,,,,
15,15,bowling,common,29,24,1,0,3.7663988195615514,4466.949,1184,2000,29,145.600000000000000000,0,100542,43,316.19496362752704,316.19496362752704,0.26705655711784376,32,,,,
17,17,ninja,rare,29,29,1,0,10.5044800000000000,1050.448,100,100,8,5000,0,393136,119,437.84545244225086,437.84545244225086,4.378454524422509,29,,,,
18,18,burger,rare,29,29,1,300.000000000000000000,9.3976266666666667,1409.644,150,150,15,3750,1,342198,90,733.681899149691,733.681899149691,4.89121266099794,17,,,,
19,19,button,common,29,29,1,0,3.8100989336492891,12862.894,3113,3376,16,100,0,53309,51,6.8553272104127805,6.8553272104127805,0.0022021610055935692,72,,,,
20,20,cat,uncommon,29,29,1,0,5.0740150000000000,3044.409,600,600,16,1000,0,113432,74,38.192290333081104,38.192290333081104,0.06365381722180184,55,,,,
21,21,cherry,rare,29,29,1,0,9.1789000000000000,917.890,98,100,3,2080.000000000000000000,0,50333,21,81.06108019950781,81.06108019950781,0.8271538795868144,47,,,,
22,22,egg,rare,29,21,1,0,13.1335200000000000,1313.352,100,100,22,8660.000000000000000000,0,610672,266,655.0851888094553,655.0851888094553,6.550851888094553,20,200.000000000000000000,,,
23,23,coconut,rare,29,29,1,0,6.8862169491525424,2031.434,282,295,16,1450,0,244202,141,591.1173561828592,591.1173561828592,2.0961608375278695,23,,,,
24,24,cute,uncommon,29,29,1,0,5.5884450549450549,4068.388,711,728,16,424.000000000000000000,0,,,,,,77,,,,
25,25,devil,epic,29,29,1,0,13.6035176470588235,1156.299,84,85,7,8000,0,360080,144,857.9374192665206,857.9374192665206,10.213540705553816,15,,,,
26,26,revolver,uncommon,24,29,1,0,3.7689733333333333,2261.384,600,600,16,633.400000000000000000,0,208970,140,10.889713815668898,10.889713815668898,0.01814952302611483,63,,,,
27,27,disguise,epic,29,29,1,0,12.0883250000000000,967.066,79,80,3,5842.600000000000000000,0,197658,59,380.8173092157703,380.8173092157703,4.820472268554054,31,,,,
28,28,dog,uncommon,29,29,1,0,4.6752600000000000,2805.156,600,600,32,498.600000000000000000,0,,,,,,78,,,,
29,29,donut,uncommon,29,29,1,0,5.4311383399209486,4122.234,699,759,16,425,0,60048,65,3.129183783333904,3.129183783333904,0.004476657773009877,75,,,,
30,30,baseball,epic,29,29,1,0,9.7216575342465753,709.681,72,73,12,4609.800000000000000000,0,,,,,,79,,,,
31,31,bowie,rare,29,29,1,0,7.6860530973451327,2605.572,335,339,16,1299.800000000000000000,0,123431,51,91.98998285460098,91.98998285460098,0.2745969637450776,42,,,,
32,32,eyeball,rare,29,29,1,0,6.9662939189189189,2062.023,283,296,23,1300,0,42722,13,23.856369322928415,23.856369322928415,0.08429812481600146,59,,,,
33,33,eyeball2,epic,29,24,1,0,10.8327721518987342,855.789,75,79,10,5500.000000000000000000,0,43371,15,65.11859994740686,65.11859994740686,0.8682479992987582,48,,,,
34,34,discoball,epic,29,29,1,0,13.5845283018867925,719.980,53,53,23,9000,0,42858,7,23.932313010675205,23.932313010675205,0.4515530756731171,58,,,,
35,35,fishcake,uncommon,29,29,1,0,5.3388386666666667,4004.129,700,750,16,399,0,,,,,,80,,,,
36,36,floater,rare,24,24,1,0,7.9975933333333333,1199.639,150,150,32,5360.000000000000000000,4,4438222,730,4923.938834661653,7923.938834661653,52.82625889774435,1,300.000000000000000000,1000,3000,545
37,37,fox,uncommon,29,29,1,0,5.8960438596491228,4705.043,725,798,16,550,0,,,,,,81,,,,
38,38,fox777,legendary,29,29,1,0,28.0304285714285714,392.426,14,14,15,143969.738000000000000000,1,555019,121,689.7090043851638,689.7090043851638,49.26492888465456,19,,,,
40,40,gamer,rare,29,24,1,0,9.2033600000000000,920.336,99,100,16,3100.000000000000000000,0,228589,125,19.63004685700203,19.63004685700203,0.19828330158587906,61,,,,
41,41,xmasball,epic,29,29,1,0,10.6921111111111111,673.603,62,63,33,5980.000000000000000000,0,74836,32,63.77145531856815,63.77145531856815,1.0285718599769056,49,,,,
42,42,derp,uncommon,29,29,1,0,6.8053738095238095,2858.257,420,420,27,1420.000000000000000000,0,226195,105,213.95070836984996,213.95070836984996,0.5094064484996428,36,,,,
