,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,2,spy,legendary,29,29,1,300.000000000000000000,32.0461000000000000,320.461,10,10,23,129084.138000000000000000,0,315414,75,852.1666492429433,852.1666492429433,85.21666492429434,14,,,,
4,4,8ball,common,29,24,1,0,4.1492603121516165,14887.546,3319,3609,16,108,0,81543,70,13.196611394525124,13.196611394525124,0.003976080564786118,63,,,,
7,7,alien,common,29,24,1,0,4.5969395000000000,9193.879,2000,2000,16,131.400000000000000000,0,30717,17,4.605344300274218,4.605344300274218,0.002302672150137109,71,,,,
8,8,angel,epic,29,24,1,0,17.3907600000000000,869.538,50,50,33,17000,2,389323,97,771.4900461611937,771.4900461611937,15.429800923223874,17,,,,
9,9,banana,rare,29,29,1,0,7.8184933333333333,1172.774,150,150,26,1801.800000000000000000,0,13341,16,5.090511789783135,5.090511789783135,0.0339367452652209,70,,,,
11,11,basketball,common,29,29,1,0,3.9157018511224892,9941.967,2340,4300,16,108,0,139194,133,64.1040852649289,64.1040852649289,0.027394908232875596,54,,,,
12,12,beachball,common,29,29,1,0,3.6194816208393632,12505.309,3219,3523,16,108,0,10388,17,3.1078868310738565,3.1078868310738565,0.0009654820848318908,75,,,,
13,13,bomb,uncommon,29,29,1,0,5.0010366666666667,3000.622,600,600,14,754.000000000000000000,2,1365842,481,1549.489256288755,1549.489256288755,2.582482093814592,4,100.000000000000000000,,,
14,14,shades,epic,29,29,1,0,14.5394600000000000,726.973,50,50,32,13080.000000000000000000,0,,,,,,78,,,,
15,15,bowling,common,29,24,1,0,3.7618333333333333,4469.058,1186,2000,23,146.600000000000000000,0,,,,,,79,,,,
17,17,ninja,rare,29,29,1,0,10.1840000000000000,1018.400,100,100,8,3500,1,666772,268,1022.0020088239565,1022.0020088239565,10.220020088239565,12,,,,
18,18,burger,rare,29,24,1,300.000000000000000000,9.3988800000000000,1409.832,150,150,13,3750,1,222351,90,678.3759546979863,678.3759546979863,4.522506364653243,18,,,,
19,19,button,common,29,29,1,0,3.8103314573459716,12863.679,3113,3376,17,109.000000000000000000,0,13534,23,47.197812131341344,47.197812131341344,0.015161520119287293,56,,,,
20,20,cat,uncommon,29,29,1,0,5.0742650000000000,3044.559,600,600,28,1000,0,131874,57,381.30267402080267,381.30267402080267,0.6355044567013378,29,,,,
21,21,cherry,rare,29,29,1,0,9.1800100000000000,918.001,98,100,14,2080.000000000000000000,0,366410,89,509.3706167856429,509.3706167856429,5.197659354955539,22,,,,
22,22,egg,rare,29,21,1,0,13.1413800000000000,1314.138,100,100,31,8660.000000000000000000,1,947581,405,1663.8309777673298,1663.8309777673298,16.6383097776733,3,100.000000000000000000,,,
23,23,coconut,rare,29,29,1,0,6.8866915254237288,2031.574,282,295,16,1450,0,46219,51,6.9295311460876405,6.9295311460876405,0.024572805482580284,69,,,,
24,24,cute,uncommon,29,29,1,0,5.5886167582417582,4068.513,711,728,16,400,0,22609,16,3.3897265125142364,3.3897265125142364,0.004767547837572766,74,,,,
25,25,devil,epic,29,29,1,0,13.6061647058823529,1156.524,84,85,7,8000,1,283190,71,625.1016339476649,625.1016339476649,7.441686118424583,21,,,,
26,26,revolver,uncommon,29,29,1,0,3.7702016666666667,2262.121,600,600,16,633.400000000000000000,1,195821,118,202.29901020365932,202.29901020365932,0.33716501700609885,40,,,,
27,27,disguise,epic,29,29,1,0,12.0907125000000000,967.257,79,80,3,5842.600000000000000000,0,107148,42,121.29036942023961,121.29036942023961,1.5353211319017672,46,,,,
28,28,dog,uncommon,29,29,1,0,4.6821883333333333,2809.313,600,600,32,498.600000000000000000,0,92720,61,244.53592969773158,244.53592969773158,0.40755988282955263,39,,,,
29,29,donut,uncommon,29,29,1,0,5.4312424242424242,4122.313,699,759,16,400,0,169880,59,97.52810204928878,97.52810204928878,0.13952518175863918,50,,,,
30,30,baseball,epic,29,29,1,0,9.7216575342465753,709.681,72,73,12,4609.800000000000000000,0,,,,,,80,,,,
31,31,bowie,rare,29,29,1,0,7.6980383480825959,2609.635,335,339,16,1299.800000000000000000,0,24446,15,3.665144602809634,3.665144602809634,0.010940730157640698,73,,,,
32,32,eyeball,rare,29,29,1,0,6.9664358108108108,2062.065,283,296,23,1300,0,36884,15,23.935539509400357,23.935539509400357,0.0845778781250896,59,,,,
33,33,eyeball2,epic,29,24,1,0,10.8344683544303797,855.923,75,79,10,5500.000000000000000000,0,73767,18,21.36750455473496,21.36750455473496,0.28490006072979945,60,,,,
