,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,2,spy,legendary,29,24,1,300.000000000000000000,32.0919000000000000,320.919,10,10,23,129084.138000000000000000,0,679841,203,1806.5226279326066,1806.5226279326066,180.65226279326066,6,,,,
4,4,8ball,common,29,24,1,0,4.1488236277514628,14890.128,3320,3608,16,88.200000000000000000,0,19412,34,3.8827640728837305,3.8827640728837305,0.0011695072508685934,66,,,,
7,7,alien,common,29,24,1,0,4.5970620000000000,9194.124,2000,2000,13,175.000000000000000000,0,68693,45,158.89288699426214,158.89288699426214,0.07944644349713106,40,,,,
8,8,angel,epic,29,24,1,0,17.3936400000000000,869.682,50,50,7,17000,0,43679,19,33.35645077402671,33.35645077402671,0.6671290154805343,54,,,,
9,9,banana,rare,29,29,1,0,7.8203800000000000,1173.057,150,150,26,1801.800000000000000000,0,1602,2,5.019613814026099,5.019613814026099,0.03346409209350732,63,,,,
11,11,basketball,common,29,29,1,0,3.9159456478928712,9942.586,2340,4300,16,107,0,6301,9,1.2603181755223773,1.2603181755223773,0.0005385975109069988,71,,,,
12,12,beachball,common,29,29,1,0,3.6189273726851852,12507.013,3220,3523,16,83.000000000000000000,0,6457,5,1.291521101308997,1.291521101308997,0.000401093509723291,70,,,,
13,13,bomb,uncommon,29,29,1,0,5.0020900000000000,3001.254,600,600,16,754.000000000000000000,1,401216,177,315.4581633079873,315.4581633079873,0.5257636055133122,32,,,,
14,14,shades,epic,29,29,1,0,14.5405600000000000,727.028,50,50,10,13080.000000000000000000,0,,,,,,78,,,,
15,15,bowling,common,29,24,1,0,3.7549781696053736,4472.179,1189,2000,7,146.600000000000000000,0,22279,18,29.019711749485044,29.019711749485044,0.024406822329255715,56,,,,
17,17,ninja,rare,29,29,1,0,10.1867300000000000,1018.673,100,100,31,5000,1,335537,206,1243.046437224508,1243.046437224508,12.43046437224508,9,,,,
18,18,burger,rare,29,29,1,300.000000000000000000,9.3993933333333333,1409.909,150,150,30,3750,1,118695,39,560.367993688229,560.367993688229,3.7357866245881937,19,,,,
19,19,button,common,29,29,1,0,3.8107870260663507,12865.217,3113,3376,22,105,0,32109,42,140.00102487082535,140.00102487082535,0.04497302437225356,42,,,,
20,20,cat,uncommon,29,29,1,0,5.0746283333333333,3044.777,600,600,29,1000,0,28089,21,64.51036738629497,64.51036738629497,0.10751727897715829,50,,,,
21,21,cherry,rare,29,29,1,0,9.1806800000000000,918.068,98,100,33,2080.000000000000000000,0,22775,18,36.112607468011646,36.112607468011646,0.3684959945715474,53,,,,
22,22,egg,rare,29,19,1,0,13.1471400000000000,1314.714,100,100,31,8660.000000000000000000,0,257189,208,479.17253701348466,479.17253701348466,4.791725370134847,25,,,,
23,23,coconut,rare,29,29,1,0,6.8885186440677966,2032.113,282,295,16,1650.000000000000000000,0,66785,49,13.358252555508962,13.358252555508962,0.047369689913152345,59,,,,
24,24,cute,uncommon,29,29,1,0,5.5886483516483516,4068.536,711,728,16,424.000000000000000000,0,1060,2,0.21201988034498012,0.21201988034498012,0.00029819955041488063,75,,,,
