,id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,2,spy,legendary,29,29,1,300.000000000000000000,32.1157000000000000,321.157,10,10,9,129084.138000000000000000,0,164662,68,80.18670280802735,80.18670280802735,8.018670280802734,48,,,,
4,4,8ball,common,29,29,1,0,4.1531234671125975,14901.407,3319,3607,33,106.600000000000000000,0,25286,32,90.22013510782932,90.22013510782932,0.027182927118960327,46,,,,
7,7,alien,common,29,29,1,0,4.5980740000000000,9196.148,2000,2000,32,174.000000000000000000,0,27396,16,345.2151947510478,345.2151947510478,0.17260759737552392,28,,,,
8,8,angel,epic,29,24,1,0,17.3978000000000000,869.890,50,50,7,17000,0,140154,50,142.45927222443498,142.45927222443498,2.8491854444886995,43,,,,
9,9,banana,rare,29,29,1,0,7.8209000000000000,1173.135,150,150,14,1801.800000000000000000,0,,,,,,71,,,,
11,11,basketball,common,29,29,1,0,3.9176181102362205,9950.750,2341,4300,32,104,0,3991,10,6.244363776861936,6.244363776861936,0.0026673916176257737,63,,,,
12,12,beachball,common,29,29,1,0,3.6191536458333333,12507.795,3220,3523,23,83.000000000000000000,0,46819,36,256.20207655265096,256.20207655265096,0.07956586228343197,36,,,,
13,13,bomb,uncommon,29,29,1,0,5.0029583333333333,3001.775,600,600,3,761.800000000000000000,0,261281,117,153.4742898645637,153.4742898645637,0.25579048310760616,41,,,,
14,14,shades,epic,29,29,1,0,14.5420200000000000,727.101,50,50,28,13080.000000000000000000,0,23170,13,21.250459182899846,21.250459182899846,0.4250091836579969,57,,,,
15,15,bowling,common,29,29,1,0,3.7538238255033557,4474.558,1190,2000,20,174.580000000000000000,0,1495,9,2.205369820192153,2.205369820192153,0.0018532519497413051,68,,,,
17,17,ninja,rare,29,29,1,0,10.1889600000000000,1018.896,100,100,32,5000,0,15772,17,11.954996490392688,11.954996490392688,0.11954996490392687,62,,,,
18,18,burger,rare,29,29,1,300.000000000000000000,9.4181666666666667,1412.725,150,150,14,3750,0,92207,25,474.86734987933653,474.86734987933653,3.1657823325289103,23,,,,
19,19,button,common,29,29,1,0,3.8110616296296296,12862.333,3113,3375,10,105,0,14969,23,3.3945136864612886,3.3945136864612886,0.0010904316371542848,67,,,,
20,20,cat,uncommon,29,29,1,0,5.0750383333333333,3045.023,600,600,31,1000,0,38306,36,36.20739158276127,36.20739158276127,0.06034565263793545,55,,,,
21,21,cherry,rare,29,29,1,0,9.1813000000000000,918.130,98,100,33,2080.000000000000000000,0,2760,4,5.909832893225303,5.909832893225303,0.06030441727780922,64,,,,
22,22,egg,rare,29,19,1,0,13.1539400000000000,1315.394,100,100,8,8660.000000000000000000,0,452487,176,682.6474144745542,682.6474144745542,6.826474144745543,15,,,,
