id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,32.1270000000000000,321.270,10,10,7,129084.138000000000000000,0,63860,21,353.71317821145703,353.71317821145703,35.3713178211457,27,100.000000000000000000,,,
4,8ball,common,29,29,1,0,4.1557025069637883,14918.972,3321,3607,30,110,0,18784,49,153.7673290878962,153.7673290878962,0.046301514329387596,35,,,,
7,alien,common,29,29,1,0,4.5992130000000000,9198.426,2000,2000,24,174.000000000000000000,0,23324,14,2.110932397391191,2.110932397391191,0.0010554661986955955,65,,,,
8,angel,epic,29,29,1,0,17.4001400000000000,870.007,50,50,17,17000,0,50593,12,116.68385861987693,116.68385861987693,2.3336771723975387,39,,,,
9,banana,rare,29,29,1,0,7.8214266666666667,1173.214,150,150,17,1811.800000000000000000,0,,,,,,68,,,,
11,basketball,common,29,29,1,0,3.9178881889763780,9951.436,2341,4300,24,118,0,27230,14,2.2658744872218946,2.2658744872218946,0.0009679087941998696,61,,,,
12,beachball,common,29,29,1,0,3.6183347800925926,12504.965,3220,3522,17,86.000000000000000000,0,50379,50,9.576911626310668,9.576911626310668,0.002974196157239338,49,,,,
13,bomb,uncommon,29,24,1,0,5.0058833333333333,3003.530,600,600,32,761.800000000000000000,0,375074,153,662.065558052644,662.065558052644,1.1034425967544066,18,,,,
14,shades,epic,29,29,1,0,14.5433400000000000,727.167,50,50,3,12510.000000000000000000,0,,,,,,69,,,,
15,bowling,common,29,29,1,0,3.7538431208053691,4474.581,1190,2000,30,144.580000000000000000,0,3824,1,8.877777354844829,8.877777354844829,0.007460317104911621,51,,,,
17,ninja,rare,29,29,1,0,10.1910400000000000,1019.104,100,100,7,5000,0,224863,64,780.7565356779533,780.7565356779533,7.8075653567795325,15,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.4191266666666667,1412.869,150,150,33,3750,1,67910,11,353.3014240946583,353.3014240946583,2.3553428272977217,28,,,,
19,button,common,29,29,1,0,3.8116989629629630,12864.484,3113,3375,28,105,0,55179,29,381.7059493312616,381.7059493312616,0.12261675211412194,25,,,,
20,cat,uncommon,29,29,1,0,5.0751533333333333,3045.092,600,600,6,1000,1,27702,6,354.88222169995424,354.88222169995424,0.5914703694999237,26,,,,
21,cherry,rare,29,29,1,0,9.1822300000000000,918.223,98,100,17,2080.000000000000000000,0,57363,34,86.5792342706027,86.5792342706027,0.8834615741898234,41,,,,
22,egg,rare,29,24,1,0,13.1602700000000000,1316.027,100,100,16,8660.000000000000000000,4,1010365,253,2196.822754622472,2196.822754622472,21.96822754622472,4,,,,
23,coconut,rare,29,29,1,0,6.8480924657534247,1999.643,279,292,24,1650.000000000000000000,0,71462,70,13.679685760759881,13.679685760759881,0.04903113175899599,47,,,,
24,cute,uncommon,29,29,1,0,5.5891043956043956,4068.868,711,728,24,424.000000000000000000,0,,,,,,70,,,,
