id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.2594000000000000,322.594,10,10,7,129084.138000000000000000,0,98190,32,362.84834302168025,362.84834302168025,36.28483430216802,26,,,,
4,8ball,common,29,29,1,0,4.1613944954128440,14968.536,3328,3605,9,119.000000000000000000,0,2518,4,45.57281834429364,45.57281834429364,0.013693755512107463,58,,,,
7,alien,common,29,29,1,0,4.5987195000000000,9197.439,2000,2000,8,400,0,35828,30,41.56740690064111,41.56740690064111,0.020783703450320556,59,,,,
8,angel,epic,29,24,1,0,17.4258800000000000,871.294,50,50,31,17499.800000000000000000,0,124992,19,345.9638648062993,345.9638648062993,6.919277296125986,28,,,,
9,banana,rare,29,29,1,0,7.8291866666666667,1174.378,150,150,24,1960.800000000000000000,0,57171,13,80.17375478316083,80.17375478316083,0.5344916985544056,50,,,,
11,basketball,common,29,29,1,0,3.9171777428234369,9961.383,2344,4300,4,115,0,2326,9,74.36894516528045,74.36894516528045,0.03172736568484661,51,,,,
12,beachball,common,29,29,1,0,3.6192582417582418,12515.395,3222,3520,23,109.400000000000000000,0,104429,81,109.33850325106674,109.33850325106674,0.03393497928338508,44,,,,
13,bomb,uncommon,29,29,1,0,5.0184500000000000,3011.070,600,600,28,850,0,30500,9,99.95525734685675,99.95525734685675,0.1665920955780946,47,,,,
14,shades,epic,29,29,1,0,14.5548200000000000,727.741,50,50,10,12510.000000000000000000,0,,,,,,73,,,,
15,bowling,common,29,29,1,0,3.6778624898291294,4520.093,1227,2000,25,149.440000000000000000,0,57445,33,106.05866359392073,106.05866359392073,0.08643737864215219,45,,,,
17,ninja,rare,29,29,1,0,10.2176500000000000,1021.765,100,100,8,5500,0,128492,23,149.075562338874,149.075562338874,1.49075562338874,40,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4332933333333333,1414.994,150,150,13,3666,1,157913,62,824.6917956956663,824.6917956956663,5.497945304637775,16,,,,
19,button,common,29,29,1,0,3.8108973293768546,12842.724,3109,3370,33,111.998000000000000000,0,30010,30,13.722427109724428,13.722427109724428,0.004413775204157102,68,,,,
20,cat,uncommon,29,29,1,0,5.0783450000000000,3047.007,600,600,28,1000,0,55620,39,298.90126418366435,298.90126418366435,0.49816877363944057,31,,,,
