id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,24,1,300.000000000000000000,32.4115000000000000,324.115,10,10,24,79524.138000000000000000,0,909747,207,485.67201693071235,485.67201693071235,48.56720169307123,26,,,,
4,8ball,common,29,29,1,0,4.1537305122494432,14920.200,3323,3592,33,121.800000000000000000,0,468045,323,228.28432274871528,228.28432274871528,0.06869826143506329,38,,,,
7,alien,common,29,29,1,0,4.6066660000000000,9213.332,2000,2000,4,262.200000000000000000,0,250662,215,139.4964064048608,139.4964064048608,0.0697482032024304,47,,,,
8,angel,epic,29,29,1,0,17.5585000000000000,877.925,50,50,31,15500,0,1522712,395,915.2784680595103,915.2784680595103,18.305569361190205,16,,,,
9,banana,rare,29,29,1,0,7.8658466666666667,1179.877,150,150,24,2007.000000000000000000,0,213807,67,57.406395214348244,57.406395214348244,0.3827093014289883,57,,,,
11,basketball,common,29,29,1,0,3.9131394891944990,9958.940,2346,4298,21,127.600000000000000000,0,150410,112,44.71507970428592,44.71507970428592,0.01906013627633671,65,,,,
12,beachball,common,29,24,1,0,3.6189924942263279,12536.190,3228,3517,23,150,0,173078,146,76.03530977811513,76.03530977811513,0.023554928679713486,50,,,,
13,bomb,uncommon,29,29,1,0,5.0148066666666667,3008.884,600,600,13,750.000000000000000000,0,1093521,284,462.44034559783864,462.44034559783864,0.7707339093297311,29,,,,
14,shades,epic,29,29,1,0,14.5757400000000000,728.787,50,50,18,11800,1,1333151,184,791.9312460020659,791.9312460020659,15.838624920041319,20,,,,
15,bowling,common,29,29,1,0,3.5607699386503067,4643.244,1302,2000,30,154.400000000000000000,0,188455,229,61.66732757376646,61.66732757376646,0.0473635388431386,55,,,,
17,ninja,rare,29,29,1,0,10.3295700000000000,1032.957,100,100,13,3500,0,56903,83,15.504834692357875,15.504834692357875,0.15504834692357874,74,,,,
18,burger,rare,29,24,1,300.000000000000000000,9.1840533333333333,1377.608,150,150,25,3600,0,588026,156,65.94867732002211,65.94867732002211,0.4396578488001474,53,,,,
19,button,common,29,29,1,0,3.8145034216007141,12820.546,3101,3361,29,122.800000000000000000,0,285218,225,66.96990274097882,66.96990274097882,0.02159622790744238,52,,,,
20,cat,uncommon,29,29,1,0,5.0873016666666667,3052.381,600,600,20,730.000000000000000000,1,793668,306,525.9005034199821,525.9005034199821,0.8765008390333034,25,,,,
21,cherry,rare,29,24,1,0,9.4341400000000000,943.414,98,100,31,5760.000000000000000000,0,1367092,1292,675.8424679036636,675.8424679036636,6.89635171330269,22,,,,
22,egg,rare,29,29,1,0,13.3530800000000000,1335.308,100,100,23,9860.000000000000000000,0,1363971,714,1464.7880698046658,1464.7880698046658,14.647880698046658,8,0.000000000000000000,,,
23,coconut,rare,29,29,1,0,6.8270242214532872,1973.010,276,289,22,1800,0,514389,170,209.01204248630606,209.01204248630606,0.7572900090083553,41,,,,
24,cute,uncommon,29,29,1,0,5.6003906464924347,4071.484,710,727,4,522.000000000000000000,0,38905,37,8.090915654371663,8.090915654371663,0.011395655851227695,79,,,,
