id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,ZonePrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,32.5536000000000000,325.536,10,10,6,76000,0,578095,81,316.39904220980605,316.39904220980605,31.639904220980604,32,,,,
4,8ball,common,24,29,1,0,4.1593915225878416,14915.578,3317,3586,33,192.400000000000000000,0,365813,434,57.450877374173444,57.450877374173444,0.017320131858357988,60,,,,
7,alien,common,29,29,1,0,4.6240580000000000,9248.116,2000,2000,22,250,0,514207,307,516.3428792851952,516.3428792851952,0.2581714396425976,25,,,,
8,angel,epic,29,29,1,0,17.7360800000000000,886.804,50,50,21,18718.000000000000000000,1,1910549,264,869.9215072287869,869.9215072287869,17.398430144575737,17,,,,
9,banana,rare,29,29,1,0,7.8897066666666667,1183.456,150,150,7,2019.800000000000000000,0,35332,19,10.949093529661486,10.949093529661486,0.0729939568644099,83,,,,
11,basketball,common,29,29,1,0,3.9073261550509005,9979.311,2355,4289,7,135.600000000000000000,0,209707,177,64.69958191665327,64.69958191665327,0.02747328319178483,55,,,,
12,beachball,common,29,29,1,0,3.6048796216680997,12577.425,3254,3512,6,115.400000000000000000,0,254660,250,168.2731713685477,168.2731713685477,0.05171271400385609,46,,,,
13,bomb,uncommon,29,29,1,0,5.0475850000000000,3028.551,600,600,24,718.000000000000000000,1,1212446,393,1059.7658460672408,1059.7658460672408,1.766276410112068,13,,,,
14,shades,epic,29,29,1,0,14.6472200000000000,732.361,50,50,32,12064.000000000000000000,0,71027,33,36.64635892448501,36.64635892448501,0.7329271784897001,68,,,,
15,bowling,common,29,29,1,0,3.3660883940620783,4988.543,1480,2000,4,150,0,145071,95,222.91394906667443,222.91394906667443,0.1506175331531584,39,,,,
17,ninja,rare,29,29,1,0,10.4088000000000000,1040.880,100,100,15,5590.000000000000000000,0,190226,125,39.48867242963909,39.48867242963909,0.3948867242963909,67,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.2492466666666667,1387.387,150,150,17,3550,1,1042914,300,486.6090962182149,486.6090962182149,3.244060641454766,27,,,,
19,button,common,29,29,1,0,3.8188556516552341,12804.623,3095,3353,21,174.800000000000000000,0,180200,151,29.412091636538584,29.412091636538584,0.009503099074810529,73,,,,
20,cat,uncommon,29,29,1,0,5.1195150000000000,3071.709,600,600,30,1015.400000000000000000,0,462621,252,268.20638563786207,268.20638563786207,0.4470106427297701,36,,,,
21,cherry,rare,29,29,1,0,10.0712400000000000,1007.124,98,100,24,3962.000000000000000000,0,30365,30,8.095983352448842,8.095983352448842,0.08261207502498819,85,,,,
22,egg,rare,29,17,1,0,13.5072400000000000,1350.724,100,100,23,6600.000000000000000000,0,2273945,1251,1895.0187036414836,1895.0187036414836,18.950187036414835,9,,,,
23,coconut,rare,29,29,1,0,6.8421038062283737,1977.368,276,289,15,1600,0,286787,69,68.49215058653643,68.49215058653643,0.24815996589324793,54,,,,
24,cute,uncommon,29,29,1,0,5.6263053645116919,4090.324,710,727,3,585.000000000000000000,0,58581,63,21.408875778252224,21.408875778252224,0.03015334616655243,77,,,,
25,devil,epic,29,29,1,0,13.7108641975308642,1110.580,80,81,6,7500,0,794455,288,623.4492757261478,623.4492757261478,7.793115946576847,22,,,,
26,revolver,uncommon,29,21,1,0,3.8869750000000000,2332.185,600,600,27,1480.666000000000000000,0,877670,601,929.8042613361597,929.8042613361597,1.5496737688935995,16,,,,
27,disguise,epic,29,29,1,0,12.2951168831168831,946.724,76,77,15,5957.000000000000000000,0,1313411,374,556.4805741049707,556.4805741049707,7.322112817170668,23,,,,
28,dog,uncommon,29,24,1,0,4.6833016666666667,2809.981,600,600,3,591.000000000000000000,0,163393,120,59.71322510773058,59.71322510773058,0.09952204184621763,57,,,,
29,donut,uncommon,29,29,1,0,5.4559296148738380,4108.315,693,753,25,400,0,369140,215,276.69394183311493,276.69394183311493,0.3992697573349422,35,,,,
30,baseball,epic,29,29,1,0,9.6031000000000000,672.217,69,70,17,5518.800000000000000000,0,,,,,,86,,,,
31,bowie,rare,29,29,1,0,7.7081484848484848,2543.689,326,330,5,1350,0,453057,242,210.58364157908278,210.58364157908278,0.6459620907333827,40,,,,
32,eyeball,rare,29,29,1,0,7.0047932203389831,2066.414,282,295,31,1450,0,83837,65,34.176681088749774,34.176681088749774,0.12119390457003466,70,,,,
33,eyeball2,epic,29,29,1,0,10.6481315789473684,809.258,72,76,17,6420.000000000000000000,0,241284,62,31.312504389981314,31.312504389981314,0.434895894305296,72,,,,
34,discoball,epic,29,29,1,0,13.8116792452830189,732.019,53,53,23,8600,0,97978,30,43.65715485520259,43.65715485520259,0.8237199029283507,65,,,,
35,fishcake,uncommon,29,29,1,0,5.3229193548387097,3960.252,694,744,16,500,0,82927,64,115.13336259808887,115.13336259808887,0.16589821700012805,51,,,,
36,floater,rare,29,29,1,0,8.4915666666666667,1273.735,150,150,23,6000,0,74432,37,33.165499910004684,33.165499910004684,0.22110333273336455,71,,,,
37,fox,uncommon,29,29,1,0,5.9197512562814070,4712.122,724,796,25,400.000000000000000000,0,29022,19,9.843026752791184,9.843026752791184,0.013595340818772353,84,,,,
38,fox777,legendary,29,29,1,0,30.3611428571428571,425.056,14,14,23,150000,0,819035,244,363.6193618547947,363.6193618547947,25.972811561056766,31,,,,
40,gamer,rare,29,29,1,0,9.4798800000000000,947.988,99,100,25,3630.000000000000000000,1,382128,222,481.3614352042214,481.3614352042214,4.862236719234559,28,,,,
41,xmasball,epic,29,29,1,0,10.7223333333333333,643.340,59,60,17,6580.000000000000000000,0,373907,136,48.523584568163415,48.523584568163415,0.8224336367485324,64,,,,
42,derp,uncommon,29,29,1,0,6.9493738095238095,2918.737,420,420,24,930.000000000000000000,0,263107,148,70.15016933682718,70.15016933682718,0.16702421270673137,53,,,,
43,moneybag,legendary,29,29,1,0,19.1708000000000000,191.708,10,10,7,43413.142000000000000000,0,626594,406,194.3786134804129,194.3786134804129,19.437861348041288,41,,,,
44,moon,uncommon,21,21,1,0,5.6495533333333333,3389.732,600,600,25,3100.000000000000000000,1,3344282,1787,2542.6644246921824,2542.6644246921824,4.237774041153637,5,,,,
45,bull,uncommon,29,16,1,0,6.2539716494845361,4853.082,742,776,12,1000,0,1061131,1180,705.3117452726458,705.3117452726458,0.9505549127663689,20,,,,
46,opencan,uncommon,29,29,1,0,4.8966766666666667,2938.006,600,600,11,589.000000000000000000,0,913156,204,366.64556222352934,366.64556222352934,0.6110759370392156,29,,,,
47,candyswirl,rare,29,29,1,0,10.5590600000000000,1055.906,100,100,7,7407,0,186636,50,57.836947243346,57.836947243346,0.57836947243346,59,,,,
48,royman,epic,29,29,1,0,12.5572400000000000,627.862,50,50,5,7499,0,112131,52,21.992304822632683,21.992304822632683,0.43984609645265366,76,,,,
49,panda,uncommon,29,29,1,0,5.3275850000000000,3196.551,599,600,5,740.000000000000000000,0,296776,180,58.78230225634214,58.78230225634214,0.0981340605281171,58,,,,
50,melon,rare,29,29,1,0,6.9812888086642599,1933.817,273,277,24,1600,0,332473,53,181.65651504865312,181.65651504865312,0.6654084800316964,42,,,,
51,casinochip,uncommon,29,29,1,0,4.7897783333333333,2873.867,600,600,12,830.000000000000000000,0,542181,126,303.9279208804709,303.9279208804709,0.5065465348007848,34,,,,
52,pizza,rare,29,29,1,0,8.7089200000000000,1306.338,150,150,24,3650.000000000000000000,0,345745,192,645.2185288718877,645.2185288718877,4.301456859145918,21,,,,
