id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,ZonePrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.4018000000000000,304.018,10,10,11,54000,0,178299,65,31.986556557434326,31.986556557434326,3.1986556557434325,67,,,,
4,8ball,common,29,29,1,0,4.1919709740440971,15019.832,3314,3583,18,170.800000000000000000,0,655240,417,86.37463389954665,86.37463389954665,0.026063558810967606,56,,,,
7,alien,common,29,21,1,0,4.6771040000000000,9354.208,2000,2000,11,300,0,251448,213,151.1170912510481,151.1170912510481,0.07555854562552405,53,,,,
8,angel,epic,29,24,1,0,17.9395800000000000,896.979,50,50,30,28500,1,1446454,129,695.799067979019,695.799067979019,13.91598135958038,23,,,,
9,banana,rare,29,24,1,0,7.9428400000000000,1191.426,150,150,12,2129.600000000000000000,0,572447,79,62.48416733465798,62.48416733465798,0.4165611155643866,58,,,,
11,basketball,common,29,24,1,0,3.6761518197573657,10605.698,2686,4277,33,110,0,526839,333,146.75651771825287,146.75651771825287,0.05463757174916339,54,,,,
12,beachball,common,29,29,1,0,3.5955562535693889,12591.638,3268,3502,14,116.000000000000000000,0,235070,230,27.975454015760974,27.975454015760974,0.008560420445459294,73,,,,
13,bomb,uncommon,29,24,1,0,5.1084916666666667,3065.095,600,600,31,1158.600000000000000000,0,4201349,1121,1020.177482556725,1020.177482556725,1.7002958042612082,18,,,,
14,shades,epic,29,24,1,0,14.8172200000000000,740.861,50,50,24,10000,1,3609480,623,1072.4756179666615,1072.4756179666615,21.44951235933323,17,,,,
15,bowling,common,29,29,1,0,2.9147060000000000,5829.412,1998,2000,14,180,0,181667,253,21.620014483691023,21.620014483691023,0.010820828069915427,77,,,,
17,ninja,rare,29,29,1,0,10.4357800000000000,1043.578,100,100,24,5890.000000000000000000,0,89389,29,12.974489901142196,12.974489901142196,0.12974489901142194,80,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.4174933333333333,1412.624,150,150,22,4485.000000000000000000,0,2398859,461,954.3285733105521,954.3285733105521,6.3621904887370135,19,,,,
19,button,common,29,29,1,0,3.8201028400597907,12778.244,3087,3345,30,121.800000000000000000,0,57532,70,9.32514695471549,9.32514695471549,0.0030207797067429514,82,,,,
20,cat,uncommon,29,29,1,0,5.1514233333333333,3090.854,600,600,5,1215.000000000000000000,1,1961127,553,942.6394186445402,942.6394186445402,1.5710656977409003,20,,,,
21,cherry,rare,29,29,1,0,10.1714100000000000,1017.141,98,100,17,3662.000000000000000000,0,526658,220,190.67931854984909,190.67931854984909,1.9457073321413172,44,,,,
22,egg,rare,29,29,1,0,13.7308400000000000,1373.084,100,100,14,8000,0,1577136,458,418.98115511090293,418.98115511090293,4.189811551109029,30,,,,
23,coconut,rare,29,29,1,0,6.8822361111111111,1982.084,275,288,26,1598.095238095200000000,0,345942,257,182.3884139439325,182.3884139439325,0.6632305961597545,45,,,,
24,cute,uncommon,29,29,1,0,5.6539447513812155,4093.456,707,724,13,522.000000000000000000,0,157859,113,38.76285767819519,38.76285767819519,0.05482723858302007,64,,,,
25,devil,epic,29,24,1,0,14.0378024691358025,1137.062,80,81,4,8440.000000000000000000,0,735523,320,304.04041125756123,304.04041125756123,3.8005051407195154,36,,,,
26,revolver,uncommon,29,29,1,0,3.9923483333333333,2395.409,600,600,27,1150,1,1268728,664,822.8806465428959,822.8806465428959,1.3714677442381598,21,,,,
27,disguise,epic,29,24,1,0,12.0371216216216216,890.747,73,74,9,8000,0,303541,97,159.8102881952248,159.8102881952248,2.189182030071573,51,,,,
28,dog,uncommon,29,29,1,0,4.8496183333333333,2909.771,600,600,21,695,0,1226593,624,368.14547623374784,368.14547623374784,0.613575793722913,32,,,,
29,donut,uncommon,29,29,1,0,5.4527546916890080,4067.755,686,746,22,429.333333333333320000,0,126187,119,30.65522065031682,30.65522065031682,0.04468691056897496,68,,,,
30,baseball,epic,29,29,1,0,9.6179000000000000,673.253,69,70,23,6718.800000000000000000,0,,,,,,86,,,,
31,bowie,rare,29,29,1,0,7.7993136645962733,2511.379,318,322,3,1525,0,253458,104,152.02781410458056,152.02781410458056,0.4780748871213225,52,,,,
32,eyeball,rare,29,29,1,0,6.9909482758620690,2027.375,277,290,33,1500,0,92833,22,28.526296291604236,28.526296291604236,0.10298301910326439,71,,,,
33,eyeball2,epic,29,29,1,0,10.3239466666666667,774.296,71,75,23,6360.000000000000000000,0,41325,9,8.669593306951297,8.669593306951297,0.12210694798522954,83,,,,
34,discoball,epic,29,29,1,0,13.8557358490566038,734.354,53,53,6,8749.332000000000000000,0,289485,79,36.25714916800297,36.25714916800297,0.6840971541132636,65,,,,
35,fishcake,uncommon,29,29,1,0,5.3214843537414966,3911.291,685,735,14,358.234190476190472000,0,157849,84,20.733753448553326,20.733753448553326,0.0302682532095669,78,,,,
36,floater,rare,29,29,1,0,8.4799200000000000,1271.988,150,150,11,3240,0,67385,30,12.088761651062049,12.088761651062049,0.08059174434041366,81,,,,
37,fox,uncommon,29,29,1,0,5.9423535353535354,4706.344,720,792,4,387.000000000000000000,0,202746,255,32.12986071738308,32.12986071738308,0.04462480655192095,66,,,,
38,fox777,legendary,29,29,1,0,30.8048571428571429,431.268,14,14,14,150000,0,1445013,428,218.28383279058258,218.28383279058258,15.59170234218447,42,,,,
40,gamer,rare,29,29,1,0,9.8316100000000000,983.161,99,100,14,3345.000000000000000000,0,1499177,487,178.41560907383538,178.41560907383538,1.8021778694326807,47,,,,
41,xmasball,epic,29,29,1,0,10.7459166666666667,644.755,60,60,23,6980.000000000000000000,0,210787,75,44.22111468584012,44.22111468584012,0.7370185780973354,62,,,,
42,derp,uncommon,29,29,1,0,7.0277666666666667,2951.662,420,420,4,1300,1,544424,161,1187.4936797827222,1187.4936797827222,2.827365904244577,15,,,,
43,moneybag,legendary,29,29,1,0,18.4557000000000000,184.557,10,10,23,41000.138000000000000000,1,644420,370,602.0920759600749,602.0920759600749,60.20920759600749,25,,,,
44,moon,uncommon,29,19,1,0,5.8976700000000000,3538.602,600,600,8,5250,3,6362252,2645,3661.323558168476,4661.323558168477,7.768872596947461,2,1000,500.000000000000000000,,
45,bull,uncommon,29,29,1,0,6.3483868046571798,4907.303,739,773,19,650.000000000000000000,0,239288,90,38.834987344433664,38.834987344433664,0.0525507271237262,63,,,,
46,opencan,uncommon,29,29,1,0,4.9155150000000000,2949.309,600,600,21,610.000000000000000000,0,420621,116,343.55285743588786,343.55285743588786,0.5725880957264797,35,,,,
47,candyswirl,rare,29,29,1,0,10.9348500000000000,1093.485,100,100,26,7881.400000000000000000,1,1740483,1075,1168.5997972521156,1168.5997972521156,11.685997972521157,16,,,,
48,royman,epic,29,29,1,0,12.1307000000000000,606.535,50,50,11,6980,0,31131,9,5.584851806176636,5.584851806176636,0.11169703612353273,85,,,,
