id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,30.7723000000000000,307.723,10,10,8,56400.000000000000000000,0,283265,67,60.175555748637855,60.175555748637855,6.017555574863786,51,,,,
4,8ball,common,29,24,1,0,4.2018664431405421,15038.480,3310,3579,30,95,0,488317,352,32.58602633119349,32.58602633119349,0.009844720945979905,61,,,,
7,alien,common,29,24,1,0,4.7005645000000000,9401.129,2000,2000,30,195,0,375942,195,25.087096928842413,25.087096928842413,0.012543548464421206,65,,,,
8,angel,epic,29,29,1,0,15.2407400000000000,762.037,50,50,14,10900,0,1144749,244,310.1047281164919,310.1047281164919,6.2020945623298385,32,,,,
9,banana,rare,29,29,1,0,7.9374600000000000,1190.619,150,150,6,2000,0,419181,93,267.3875453658015,267.3875453658015,1.78258363577201,34,,,,
11,basketball,common,29,24,1,0,3.2749865696698377,11704.802,3376,4241,22,92,0,789153,331,280.26633655002615,280.26633655002615,0.08301727978377552,33,,,,
12,beachball,common,29,29,1,0,3.6036267505001429,12609.090,3265,3499,13,97.200000000000000000,0,178923,71,204.11437893740754,204.11437893740754,0.06251588941421364,37,,,,
13,bomb,uncommon,24,29,1,0,5.2315183333333333,3138.911,600,600,11,1450,0,3871692,933,1630.8599577330242,1630.8599577330242,2.7180999295550405,10,,,,
14,shades,epic,29,29,1,0,14.9650600000000000,748.253,50,50,30,13000,0,232915,93,15.542719837584869,15.542719837584869,0.3108543967516974,73,,,,
15,bowling,common,29,29,1,0,2.9509010000000000,5901.802,1998,2000,30,190,0,313674,117,153.64433709296105,153.64433709296105,0.07689906761409462,42,,,,
17,ninja,rare,29,29,1,0,10.4595500000000000,1045.955,100,100,31,4499,0,32989,13,6.088055263277898,6.088055263277898,0.06088055263277898,79,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.5940533333333333,1439.108,150,150,8,6720.000000000000000000,0,1719273,392,572.6604660466279,572.6604660466279,3.8177364403108527,21,,,,
19,button,common,29,29,1,0,3.8273082909308590,12787.037,3084,3341,3,83.000000000000000000,0,46456,48,9.348942517154445,9.348942517154445,0.0030314340198295863,76,,,,
20,cat,uncommon,29,29,1,0,5.1752500000000000,3105.150,600,600,3,899,1,1504984,416,844.8504003626147,844.8504003626147,1.4080840006043578,19,,,,
21,cherry,rare,29,29,1,0,10.2268800000000000,1022.688,98,100,27,3200,0,91651,57,21.976919845112757,21.976919845112757,0.22425428413380363,69,,,,
22,egg,rare,29,29,1,0,13.8753400000000000,1387.534,100,100,6,7720.000000000000000000,1,2166989,490,1112.1794304793088,1112.1794304793088,11.121794304793088,15,,,,
23,coconut,rare,29,29,1,0,6.9518257839721254,1995.174,275,287,7,1608,0,460424,115,41.003082915112856,41.003082915112856,0.14910211969131948,57,,,,
24,cute,uncommon,29,29,1,0,5.6740552486187845,4108.016,707,724,8,544.000000000000000000,0,30522,19,2.1668722597724095,2.1668722597724095,0.0030648829699751194,85,,,,
25,devil,epic,29,24,1,0,14.3164938271604938,1159.636,80,81,19,7702.400000000000000000,2,2329323,862,1137.8826091869569,1137.8826091869569,14.22353261483696,14,,,,
26,revolver,uncommon,29,29,1,0,4.1047833333333333,2462.870,600,600,3,832.000000000000000000,0,580470,295,339.13170057691076,339.13170057691076,0.565219500961518,28,,,,
27,disguise,epic,29,29,1,0,12.2312972972972973,905.116,73,74,23,8000,0,68787,48,18.76825137135756,18.76825137135756,0.2570993338542132,71,,,,
28,dog,uncommon,29,29,1,0,4.9292816666666667,2957.569,600,600,19,533.200000000000000000,0,293875,112,36.977318862214624,36.977318862214624,0.06162886477035771,59,,,,
29,donut,uncommon,29,29,1,0,5.4912989276139410,4096.509,686,746,26,439,0,130755,90,27.146698488512815,27.146698488512815,0.03957244677625775,63,,,,
30,baseball,epic,29,29,1,0,9.6588571428571429,676.120,69,70,6,6718.800000000000000000,0,420612,98,199.0607247918855,199.0607247918855,2.8849380404621088,38,,,,
31,bowie,rare,29,29,1,0,7.8467327044025157,2495.261,314,318,24,1500,0,229222,149,24.089110212629528,24.089110212629528,0.07671691150518958,66,,,,
32,eyeball,rare,29,29,1,0,6.9959619377162630,2021.833,276,289,13,1500,0,10177,12,3.3708451250791818,3.3708451250791818,0.012213206974924572,83,,,,
33,eyeball2,epic,29,24,1,0,10.4340800000000000,782.556,71,75,5,6360.000000000000000000,0,418361,224,74.31280190861708,74.31280190861708,1.046659181811508,49,,,,
34,discoball,epic,29,29,1,0,14.0166226415094340,742.881,53,53,20,8740.000000000000000000,0,367125,70,187.59719128974223,187.59719128974223,3.5395696469762683,40,,,,
35,fishcake,uncommon,29,29,1,0,5.3390693877551020,3924.216,685,735,30,379.798000000000000000,0,12425,12,0.8291363543867591,0.8291363543867591,0.0012104180356011082,86,,,,
36,floater,rare,29,29,1,0,8.5004200000000000,1275.063,150,150,23,3300,0,44559,16,11.919592200976465,11.919592200976465,0.07946394800650977,75,,,,
37,fox,uncommon,29,29,1,0,5.9710318877551020,4681.289,712,784,29,395,0,266620,164,53.559409041698544,53.559409041698544,0.07522388910350919,53,,,,
38,fox777,legendary,29,29,1,0,31.6050000000000000,442.470,14,14,19,104100.000000000000000000,0,1452328,381,377.69973902338484,377.69973902338484,26.978552787384633,26,,,,
40,gamer,rare,29,29,1,0,10.2572400000000000,1025.724,99,100,27,6000,0,524509,142,206.6389223171274,206.6389223171274,2.0872618415871456,36,,,,
41,xmasball,epic,29,29,1,0,10.7752333333333333,646.514,60,60,30,8005.000000000000000000,0,138636,62,9.251359969960783,9.251359969960783,0.15418933283267972,77,,,,
42,derp,uncommon,29,29,1,0,7.0694452380952381,2969.167,420,420,21,900,0,103955,62,8.986386683050258,8.986386683050258,0.02139615876916728,78,,,,
43,moneybag,legendary,29,29,1,0,18.9912000000000000,189.912,10,10,13,41000.138000000000000000,0,409374,168,378.1465450389305,378.1465450389305,37.81465450389305,25,,,,
44,moon,uncommon,29,21,1,0,6.0776700000000000,3646.602,600,600,23,8900,1,7808452,2203,3040.077306327676,3040.077306327676,5.066795510546127,6,800.000000000000000000,,,
45,bull,uncommon,29,29,1,0,6.3615336787564767,4911.104,738,772,30,444,0,330574,103,22.059631486120605,22.059631486120605,0.029891099574689165,68,,,,
46,opencan,uncommon,29,29,1,0,4.9885433333333333,2993.126,600,600,16,595,0,789696,166,319.27655861664766,319.27655861664766,0.5321275976944128,30,,,,
47,candyswirl,rare,29,29,1,0,11.3942800000000000,1139.428,100,100,24,6650.000000000000000000,1,2946954,1051,1618.5081293507226,1618.5081293507226,16.185081293507224,11,,,,
48,royman,epic,29,29,1,0,12.4362200000000000,621.811,50,50,29,6980,0,125213,56,25.220521334112814,25.220521334112814,0.5044104266822562,64,,,,
49,panda,uncommon,29,29,1,0,5.4463683333333333,3267.821,599,600,21,700,0,1191783,434,470.9086057956638,470.9086057956638,0.7861579395587042,23,,,,
50,melon,rare,29,29,1,0,6.9960955882352941,1902.938,268,272,23,1700,0,354209,56,96.6444757003095,96.6444757003095,0.3606137152996623,45,,,,
51,casinochip,uncommon,29,29,1,0,5.0797816666666667,3047.869,600,600,29,2000,1,3573325,950,1500.1687466793012,1500.1687466793012,2.500281244465502,13,,,,
52,pizza,rare,29,29,1,0,8.9279266666666667,1339.189,150,150,30,4750,1,2147232,384,567.0145753218885,567.0145753218885,3.78009716881259,22,,,,
53,jackolantern,rare,29,29,1,0,9.6379533333333333,1445.693,150,150,5,2180,0,461712,120,83.11670175587591,83.11670175587591,0.5541113450391727,46,,,,
54,waffle,uncommon,29,29,1,0,5.1424087791495199,3748.816,680,729,17,398.090000000000000000,0,92036,40,18.01960570010294,18.01960570010294,0.026499420147210205,72,,,,
55,saturn,common,29,29,1,0,3.7300375000000000,7460.075,1996,2000,30,200,0,332192,180,22.838913266603974,22.838913266603974,0.011442341315933855,67,,,,
56,marble,rare,29,29,1,0,7.3810522648083624,2118.362,278,287,5,1600,0,159117,120,28.5224139062109,28.5224139062109,0.1025986111734205,62,,,,
57,skull,uncommon,29,29,1,0,6.5653813169984686,4287.194,651,653,30,1150,0,634666,171,148.64466804738495,148.64466804738495,0.22833282342148226,43,,,,
58,skullpatch,rare,29,29,1,0,8.9573533333333333,1343.603,150,150,32,2600.000000000000000000,0,269394,56,19.601015042363976,19.601015042363976,0.13067343361575984,70,,,,
59,football,common,21,21,1,0,4.0430860000000000,8086.172,1997,2000,25,950,3,9124377,3471,3425.4111476609614,3425.4111476609614,1.7152784915678325,4,100.000000000000000000,774,,
60,starballoon,common,29,29,1,0,3.4498885263730288,12688.690,3415,3679,18,100,0,67290,56,13.093963423928178,13.093963423928178,0.003834249904517768,74,,,,
61,tamagochi,epic,29,29,1,0,11.9768815789473684,910.243,76,76,5,7093.000000000000000000,0,798,1,0.14174747627784717,0.14174747627784717,0.0018650983720769365,87,,,,
62,target,uncommon,29,21,1,0,5.0350575635876841,3761.188,712,747,30,430.000000000000000000,0,41237,31,2.751798458418252,2.751798458418252,0.003864885475306534,84,,,,
64,tomato,uncommon,29,29,1,0,4.9501743119266055,3776.983,741,763,30,395.200000000000000000,0,74877,59,4.996639260154314,4.996639260154314,0.006743102915188009,81,,,,
65,volleyball,common,29,29,1,0,3.0630810000000000,6126.162,2000,2000,21,240,0,69885,45,5.151590111584548,5.151590111584548,0.002575795055792274,80,,,,
66,racoon,uncommon,29,29,1,0,6.3478544061302682,4970.370,737,783,4,500,0,219905,66,33.41159999861851,33.41159999861851,0.045334599726755104,60,,,,
67,peach,rare,29,29,1,0,10.0901000000000000,1009.010,100,100,17,2858.000000000000000000,0,188736,51,131.95701188320785,131.95701188320785,1.3195701188320785,44,,,,
68,watermelon,uncommon,29,29,1,0,4.1341600000000000,2480.496,600,600,20,665,0,246461,154,55.519762514453326,55.519762514453326,0.09253293752408888,52,,,,
69,citrus,epic,29,29,1,0,15.6198800000000000,780.994,50,50,15,7600,0,276564,82,38.85179212199337,38.85179212199337,0.7770358424398673,58,,,,
70,potion,epic,29,29,1,0,13.7527000000000000,687.635,50,50,3,11000,0,229552,77,51.9351804960078,51.9351804960078,1.038703609920156,54,,,,
71,crlogo,legendary,24,29,1,0,31.9250000000000000,319.250,10,10,25,57464.800000000000000000,5,7888087,1924,5734.461858825694,8734.461858825694,873.4461858825695,1,900.000000000000000000,,1000,3000
72,yinyang,uncommon,29,29,1,0,5.4259244755244755,3879.536,687,715,30,414.000000000000000000,0,53321,42,3.5581794408254632,3.5581794408254632,0.005179300496106934,82,,,,
73,waffle2,legendary,29,29,1,0,17.3391666666666667,312.105,18,18,12,41500,0,770653,242,382.191399467557,382.191399467557,21.23285552597539,24,,,,
74,snowman,epic,29,29,1,0,12.3059000000000000,615.295,50,50,10,8250,0,471215,102,64.25274430132369,64.25274430132369,1.2850548860264737,50,,,,
75,crosshair,common,21,24,1,0,3.4309410000000000,6861.882,2000,2000,10,900,4,7379641,2715,5130.839336617021,6130.839336617021,3.0654196683085106,2,500.000000000000000000,,,1000
76,xmasball2,common,29,29,1,0,3.5690382857142857,12491.634,3280,3986,3,55,0,186683,174,43.13908201856903,43.13908201856903,0.013152159152002752,55,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.4309200000000000,1143.092,100,100,8,9603.000000000000000000,1,1679479,472,1094.071885029306,1094.071885029306,10.94071885029306,16,,,,
78,vase,common,29,29,1,0,2.4803280000000000,4960.656,1999,2000,20,150.000000000000000000,0,651107,206,321.6241020844944,321.6241020844944,0.16089249729089264,29,,,,
79,ufo,uncommon,29,21,1,0,5.8217650000000000,3493.059,600,600,7,2349,2,10407339,1865,2955.873655393601,2955.873655393601,4.926456092322669,7,300.000000000000000000,422,,
80,wheeee,rare,29,29,1,0,8.8514600000000000,1327.719,150,150,18,4240.000000000000000000,0,295059,83,186.87821785937913,186.87821785937913,1.2458547857291942,41,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.4905800000000000,874.529,50,50,31,18400.000000000000000000,1,3920308,597,1738.0182798012709,1738.0182798012709,34.760365596025416,9,,,,
83,ape,epic,29,24,1,0,16.5192600000000000,825.963,50,50,15,22200.000000000000000000,0,5602874,1258,2001.4856602084405,2001.4856602084405,40.029713204168814,8,300.000000000000000000,,,
84,ghost,epic,19,21,1,0,22.0953400000000000,1104.767,50,50,8,45200.000000000000000000,3,11047922,2224,3984.3054667522456,4484.305466752246,89.68610933504492,3,200.000000000000000000,1030,,500
85,diver,rare,29,21,1,0,8.0608266666666667,1209.124,150,150,14,5650.000000000000000000,3,5315365,1212,3170.0715780335263,3170.0715780335263,21.13381052022351,5,,,,
86,cobra,legendary,29,29,1,0,32.9458000000000000,329.458,10,10,25,75400.000000000000000000,1,3285493,650,1603.742738666419,1603.742738666419,160.3742738666419,12,,,,
87,clock,common,29,29,1,0,2.4432400000000000,4886.480,2000,2000,9,222.200000000000000000,0,810423,481,313.3802985438343,313.3802985438343,0.15669014927191713,31,,,,
88,ladybug,rare,29,29,1,0,9.5997400000000000,1439.961,150,150,3,5800,0,1819061,384,943.5094975640023,943.5094975640023,6.290063317093349,18,,,,
89,dragon,epic,29,24,1,100.000000000000000000,16.1148200000000000,805.741,50,50,14,12220.000000000000000000,0,1634913,346,781.3731582444931,781.3731582444931,15.627463164889862,20,,,,
90,virus,common,29,29,1,0,2.5363090000000000,5072.618,2000,2000,33,170,0,778150,302,227.7979417464206,227.7979417464206,0.1138989708732103,35,,,,
91,cougar,rare,29,29,1,0,9.4784000000000000,1421.760,150,150,6,2923.809523809,0,334403,106,75.36297120976543,75.36297120976543,0.5024198080651029,48,,,,
92,botroyale,legendary,29,29,1,0,23.2298000000000000,232.298,10,10,4,47240.000000000000000000,0,1136628,278,350.13386853377904,350.13386853377904,35.0133868533779,27,,,,
93,mummy,epic,29,29,1,0,14.9499600000000000,747.498,50,50,21,10995,0,398860,84,42.37434546107798,42.37434546107798,0.8474869092215596,56,,,,
94,frankie,rare,29,29,1,0,6.9109400000000000,1036.641,150,150,26,3150,0,441757,220,191.5165408485982,191.5165408485982,1.2767769389906547,39,,,,
95,earth,uncommon,29,29,1,0,2.7899450000000000,1673.967,600,600,23,857.000000000000000000,0,308071,189,78.4609672939671,78.4609672939671,0.1307682788232785,47,,,,
131,bat,epic,29,29,1,0,8.7672800000000000,438.364,50,50,26,11760.000000000000000000,1,1718121,473,1056.9432295434253,1056.9432295434253,21.138864590868508,17,,,,
