id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.8375000000000000,278.375,10,10,25,59900.000000000000000000,0,277029,45,27.235112570304537,27.235112570304537,2.7235112570304536,60,,,,
4,8ball,common,29,29,1,0,4.2143683622135271,15079.010,3309,3578,31,119.99,0,204436,134,115.49812405945443,115.49812405945443,0.03490423815637789,40,,,,
7,alien,common,29,29,1,0,4.7202760000000000,9440.552,2000,2000,11,182.000000000000000000,0,86490,32,13.986492089306859,13.986492089306859,0.006993246044653429,67,,,,
8,angel,epic,29,29,1,0,15.2855400000000000,764.277,50,50,8,10800.000000000000000000,0,2081686,240,568.8509693832062,568.8509693832062,11.377019387664125,19,,,,
9,banana,rare,29,29,1,0,8.0478266666666667,1207.174,150,150,20,2031.110000000000000000,0,262415,35,117.00776095806177,117.00776095806177,0.7800517397204118,39,,,,
11,basketball,common,29,24,1,0,3.1356052178193453,12739.964,3865,4232,18,98,1,1095575,399,572.1354648406779,572.1354648406779,0.14802987447365534,18,,,,
12,beachball,common,29,29,1,0,3.6111766218919691,12635.507,3265,3499,9,102.8,0,1074945,207,222.220334633786,222.220334633786,0.06806135823393139,32,,,,
13,bomb,uncommon,29,29,1,0,5.2872800000000000,3172.368,600,600,22,1370.000000000000000000,0,2303522,377,688.5175841909388,688.5175841909388,1.147529306984898,16,,,,
14,shades,epic,29,29,1,0,15.0140200000000000,750.701,50,50,4,10333,0,73867,37,8.371641494233794,8.371641494233794,0.16743282988467587,76,,,,
15,bowling,common,29,29,1,0,2.9797545000000000,5959.509,1998,2000,12,190.000000000000000000,0,204344,96,114.56033827565875,114.56033827565875,0.05733750664447385,41,,,,
17,ninja,rare,29,29,1,0,10.4964500000000000,1049.645,100,100,15,5020.000000000000000000,1,2633125,257,580.2629554156603,580.2629554156603,5.802629554156603,17,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6670266666666667,1450.054,150,150,33,7000,0,131163,31,18.395670056473673,18.395670056473673,0.12263780037649115,62,,,,
19,button,common,29,29,1,0,3.8353465109314166,12806.222,3082,3339,25,125,0,50005,48,7.498675007085121,7.498675007085121,0.0024330548368219082,77,,,,
20,cat,uncommon,29,24,1,0,5.1847033333333333,3110.822,600,600,32,800,1,2817662,554,1080.2925281677901,1080.2925281677901,1.8004875469463169,11,,,,
21,cherry,rare,29,29,1,0,10.2464100000000000,1024.641,98,100,4,3200.000000000000000000,0,387652,71,43.93414608042453,43.93414608042453,0.44830761306555644,53,,,,
22,egg,rare,29,29,1,0,13.9490500000000000,1394.905,100,100,23,8500,0,107390,41,20.344762373103865,20.344762373103865,0.20344762373103864,61,,,,
23,coconut,rare,29,29,1,0,7.0484245614035088,2008.801,273,285,25,1500,1,1158170,137,384.02017977251325,384.02017977251325,1.4066673251740411,23,,,,
24,cute,uncommon,29,29,1,0,5.6755268965517241,4114.757,708,725,9,450,0,8410,10,3.761957590424261,3.761957590424261,0.005313499421503194,82,,,,
25,devil,epic,29,29,1,0,14.5111219512195122,1189.912,81,82,27,11000.000000000000000000,1,2720176,623,913.6747580929167,913.6747580929167,11.279935285097737,13,,,,
26,revolver,uncommon,29,29,1,0,4.1218916666666667,2473.135,600,600,30,720.000000000000000000,0,510307,236,45.723178716219266,45.723178716219266,0.07620529786036544,51,,,,
27,disguise,epic,29,29,1,0,12.2572432432432432,907.036,73,74,31,8000,0,51915,21,4.509755638586215,4.509755638586215,0.06177747450118103,81,,,,
28,dog,uncommon,29,29,1,0,5.0172266666666667,3010.336,600,600,23,490.000000000000000000,0,232120,120,43.97454364507747,43.97454364507747,0.07329090607512911,52,,,,
