id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,RankPrize,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9001000000000000,279.001,10,10,30,59900.000000000000000000,0,256084,256084,22,166.4858067553361,166.4858067553361,16.648580675533612,34,,,,
4,8ball,common,29,29,1,0,4.2185036333147010,15093.806,3309,3578,8,98.000000000000000000,0,377675,232272,130,76.51689735540131,76.51689735540131,0.023123873483046634,45,0.000000000000000000,,,
7,alien,common,29,24,1,0,4.7213140000000000,9442.628,2000,2000,3,167.000000000000000000,0,85908,86978,54,13.181215417296011,13.181215417296011,0.006590607708648006,62,,,,
8,angel,epic,29,29,1,0,15.2875400000000000,764.377,50,50,17,10800.000000000000000000,0,59304,59304,10,11.110238234086838,11.110238234086838,0.22220476468173675,65,,,,
9,banana,rare,29,29,1,0,8.0512333333333333,1207.685,150,150,16,2071.110000000000000000,0,160079,88198,60,96.33957095944533,96.33957095944533,0.6422638063963022,44,,,,
11,basketball,common,29,29,1,0,3.1050349903474903,12867.265,3946,4229,25,88.600000000000000000,0,315475,315475,173,18.256659326526968,18.256659326526968,0.004626624259129997,58,,,,
12,beachball,common,29,29,1,0,3.6114589882823664,12636.495,3265,3499,6,90.000000000000000000,0,297380,297380,118,124.97296540084503,124.97296540084503,0.038276559081422676,37,,,,
13,bomb,uncommon,29,29,1,0,5.3181366666666667,3190.882,600,600,23,1779.600000000000000000,0,2611833,2611833,500,992.1565813700304,992.1565813700304,1.6535943022833839,9,,,,
14,shades,epic,29,29,1,0,15.0254800000000000,751.274,50,50,12,9800,0,38271,38271,25,7.71855703447539,7.71855703447539,0.1543711406895078,71,,,,
15,bowling,common,29,29,1,0,2.9819455000000000,5963.891,1998,2000,20,190.000000000000000000,0,166730,166730,64,24.74544781874293,24.74544781874293,0.012385109018389856,56,,,,
17,ninja,rare,29,29,1,0,10.5172500000000000,1051.725,100,100,14,5020.000000000000000000,0,292334,292334,56,42.022460344432744,42.022460344432744,0.42022460344432744,47,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.6697133333333333,1450.457,150,150,14,7000,0,1282367,860737,305,359.4076618441045,359.4076618441045,2.3960510789606966,22,,,,
19,button,common,29,29,1,0,3.8362866127583109,12809.361,3082,3339,3,125,0,6400,6400,4,1.1732315810453047,1.1732315810453047,0.00038067215478432986,82,,,,
20,cat,uncommon,29,24,1,0,5.2130233333333333,3127.814,600,600,18,890,1,1117466,837497,386,494.8192640720503,494.8192640720503,0.8246987734534172,17,,,,
21,cherry,rare,29,29,1,0,10.2492200000000000,1024.922,98,100,24,3300.000000000000000000,0,307448,307657,162,167.7036787301759,167.7036787301759,1.7112620278589379,33,,,,
22,egg,rare,29,29,1,0,13.9558300000000000,1395.583,100,100,15,8500,0,1288667,1280989,276,372.4298076172016,372.4298076172016,3.7242980761720164,21,,,,
23,coconut,rare,29,29,1,0,7.0491684210526316,2009.013,273,285,25,1500,0,211822,211822,25,11.387687536367586,11.387687536367586,0.041713141158855625,63,,,,
24,cute,uncommon,29,29,1,0,5.6763958620689655,4115.387,708,725,27,450,0,457202,200088,137,258.37875729376873,258.37875729376873,0.3649417475900688,27,,,,
25,devil,epic,29,29,1,0,14.5644268292682927,1194.283,81,82,30,11000.000000000000000000,0,1444621,1444290,420,640.1939414578193,640.1939414578193,7.903628906886658,12,,,,
26,revolver,uncommon,29,24,1,0,4.1237966666666667,2474.278,600,600,8,550.000000000000000000,1,2525036,1773738,443,997.2490461624125,997.2490461624125,1.6620817436040207,8,,,,
27,disguise,epic,29,29,1,0,12.3147837837837838,911.294,73,74,31,7880.000000000000000000,0,112398,112398,21,31.22469967339419,31.22469967339419,0.427735611964304,52,,,,
28,dog,uncommon,29,29,1,0,5.0239650000000000,3014.379,600,600,4,500.000000000000000000,0,339496,339496,157,115.39024957514019,115.39024957514019,0.19231708262523364,39,,,,
29,donut,uncommon,29,29,1,0,5.5082453083109920,4109.151,686,746,7,370,0,50358,50358,18,5.888663777826444,5.888663777826444,0.008584057985169743,74,,,,
30,baseball,epic,29,29,1,0,9.6969142857142857,678.784,69,70,13,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8827151898734177,2490.938,312,316,21,1500,0,46788,46788,24,9.530964192553869,9.530964192553869,0.030547962155621375,67,,,,
32,eyeball,rare,29,29,1,0,7.0118788927335640,2026.433,276,289,14,1500,0,,,,,,,86,,,,
33,eyeball2,epic,29,29,1,0,10.5311466666666667,789.836,71,75,14,5690.000000000000000000,0,1310,1310,1,0.18831002569392166,0.18831002569392166,0.002652253883012981,84,,,,
34,discoball,epic,29,29,1,0,14.0542075471698113,744.873,53,53,11,7900,0,42837,42837,9,8.120160619442691,8.120160619442691,0.1532105777253338,69,,,,
35,fishcake,uncommon,29,29,1,0,5.3556612021857923,3920.344,682,732,30,370,0,,,,,,,87,,,,
