id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,ZonePrize,RankPrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9333000000000000,279.333,10,10,22,59900.000000000000000000,0,970826,970826,87,167.06254346323288,167.06254346323288,16.706254346323288,44,,,,
4,8ball,common,29,29,1,0,4.2193138624930129,15096.705,3309,3578,16,99.600000000000000000,0,176886,176886,108,29.70589519757825,29.70589519757825,0.008977302870226125,59,,,,
7,alien,common,29,24,1,0,4.7225455000000000,9445.091,2000,2000,6,170.600000000000000000,0,97360,94141,53,17.6550991401887,17.6550991401887,0.008827549570094349,66,,,,
8,angel,epic,29,24,1,0,15.2960400000000000,764.802,50,50,23,10000,0,,,,,,,82,,,,
9,banana,rare,29,29,1,0,8.0637600000000000,1209.564,150,150,16,2000,0,289689,154748,83,158.0852972087912,158.0852972087912,1.0539019813919412,46,,,,
11,basketball,common,29,24,1,0,3.0878434247871334,13055.402,4030,4228,25,91,1,724517,408409,317,403.72529428466197,403.72529428466197,0.1001799737679062,25,,,,
12,beachball,common,29,29,1,0,3.6137827950843098,12644.626,3265,3499,18,92.000000000000000000,0,191945,109934,71,33.920069902335264,33.920069902335264,0.010388995375906667,56,,,,
13,bomb,uncommon,21,29,1,0,5.3499266666666667,3209.956,600,600,28,1645,3,8099145,5865560,1317,2176.6349865049638,2176.6349865049638,3.6277249775082727,8,600.000000000000000000,115.66666666666667,,
14,shades,epic,29,29,1,0,15.1916600000000000,759.583,50,50,32,9750,1,1372339,1323709,119,601.4371069820213,601.4371069820213,12.028742139640427,19,,,,
15,bowling,common,29,24,1,0,2.9858560000000000,5971.712,1998,2000,14,160,0,840376,532280,185,281.2464268717226,281.2464268717226,0.14076397741327457,31,,,,
17,ninja,rare,29,29,1,0,10.5247300000000000,1052.473,100,100,10,4500,0,1000,1000,1,0.08676059822704495,0.08676059822704495,0.0008676059822704495,81,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7419000000000000,1461.285,150,150,18,6500,1,1706728,1642634,353,511.6176474244091,511.6176474244091,3.410784316162727,20,,,,
19,button,common,29,29,1,0,3.8380038933812519,12815.095,3082,3339,5,120,0,69805,69805,38,13.998390116598905,13.998390116598905,0.00454198251674202,71,,,,
20,cat,uncommon,29,29,1,0,5.2331450000000000,3139.887,600,600,25,950.000000000000000000,0,682506,667220,303,715.0115913864884,715.0115913864884,1.1916859856441473,14,,,,
21,cherry,rare,29,29,1,0,10.2549000000000000,1025.490,98,100,26,3300.000000000000000000,0,346920,346920,181,125.51574256638624,125.51574256638624,1.280772883330472,49,,,,
22,egg,rare,29,29,1,0,13.9860300000000000,1398.603,100,100,10,8500,3,2879835,2349162,674,2269.263057509346,2269.263057509346,22.692630575093457,7,,,,
23,coconut,rare,29,29,1,0,7.0892666666666667,2020.441,273,285,17,1550,0,378001,170809,146,112.50875363274595,112.50875363274595,0.4121199766767251,51,,,,
24,cute,uncommon,29,24,1,0,5.7245337931034483,4150.287,708,725,10,500,0,10928,10928,7,0.9481198174251472,0.9481198174251472,0.0013391522844987955,78,,,,
25,devil,epic,29,29,1,0,14.7017926829268293,1205.547,81,82,5,11000.000000000000000000,2,3484094,3110563,901,1378.8418305167925,1378.8418305167925,17.022738648355464,9,,,,
26,revolver,uncommon,29,24,1,0,4.1374950000000000,2482.497,600,600,21,710.000000000000000000,0,904009,899482,186,314.4531381754648,314.4531381754648,0.5240885636257747,28,,,,
27,disguise,epic,29,29,1,0,12.3833648648648649,916.369,73,74,11,7380.000000000000000000,0,775739,376755,224,216.04894165895647,216.04894165895647,2.9595745432733764,38,,,,
28,dog,uncommon,29,29,1,0,5.0476583333333333,3028.595,600,600,23,529,0,132906,132906,91,16.72708742488952,16.72708742488952,0.02787847904148253,68,,,,
29,donut,uncommon,29,29,1,0,5.5103284182305630,4110.705,686,746,6,316.000000000000000000,0,91140,91140,44,10.563315126758942,10.563315126758942,0.015398418552126737,73,,,,
30,baseball,epic,29,29,1,0,9.6970857142857143,678.796,69,70,13,6718.800000000000000000,0,,,,,,,83,,,,
31,bowie,rare,29,29,1,0,7.8864968354430380,2492.133,312,316,32,1564.000000000000000000,0,709669,359416,159,299.4715485241154,299.4715485241154,0.9598447068080622,30,,,,
32,eyeball,rare,29,24,1,0,7.0362871972318339,2033.487,276,289,23,1440.000000000000000000,0,,,,,,,84,,,,
33,eyeball2,epic,29,29,1,0,10.5317733333333333,789.883,71,75,14,5690.000000000000000000,0,,,,,,,85,,,,
34,discoball,epic,29,29,1,0,14.0829056603773585,746.394,53,53,22,8020.000000000000000000,0,93937,93937,14,28.410146443962756,28.410146443962756,0.5360404989426935,60,,,,
35,fishcake,uncommon,29,29,1,0,5.3522229822161423,3912.475,681,731,17,375,0,28980,23764,10,3.642668611518046,3.642668611518046,0.005348999429541918,76,,,,
36,floater,rare,29,29,1,0,8.5542266666666667,1283.134,150,150,19,2920.000000000000000000,0,95577,95549,45,102.5450028625098,102.5450028625098,0.6836333524167321,52,,,,
37,fox,uncommon,29,29,1,0,6.0476128205128205,4717.138,708,780,20,344,1,1318859,723455,265,495.86032689268706,495.86032689268706,0.7003676933512529,22,,,,
38,fox777,legendary,29,29,1,0,31.8244285714285714,445.542,14,14,22,104100.000000000000000000,0,1054316,871941,305,479.6210470226051,479.6210470226051,34.25864621590036,23,,,,
40,gamer,rare,29,29,1,0,10.3398000000000000,1033.980,99,100,28,5000,0,1589736,1589736,487,378.2657270927021,378.2657270927021,3.820865930229314,26,,,,
41,xmasball,epic,29,29,1,0,10.7970500000000000,647.823,60,60,31,8005.000000000000000000,0,56854,56854,25,8.925384273201528,8.925384273201528,0.1487564045533588,74,,,,
42,derp,uncommon,29,29,1,0,7.0878500000000000,2976.897,420,420,15,1210.000000000000000000,0,450008,450008,89,251.01020218495057,251.01020218495057,0.5976433385355966,34,,,,
43,moneybag,legendary,29,29,1,0,19.1719000000000000,191.719,10,10,7,41000.138000000000000000,0,92147,92147,31,17.808288822483142,17.808288822483142,1.7808288822483143,65,,,,
