id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,BetPrize,RankPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,27.9561000000000000,279.561,10,10,7,63785.714285714284000000,0,125377,125377,26,20.62099591914047,20.62099591914047,2.062099591914047,62,,,,
4,8ball,common,29,29,1,0,4.2185939597315436,15085.692,3307,3576,18,94.600000000000000000,0,170543,170543,119,23.369665927084355,23.369665927084355,0.007066726920799624,61,,,,
7,alien,common,29,29,1,0,4.7244775000000000,9448.955,2000,2000,30,177.200000000000000000,0,90451,90451,61,16.67070182315433,16.67070182315433,0.008335350911577166,64,,,,
8,angel,epic,29,29,1,0,15.3152600000000000,765.763,50,50,15,9950,0,366732,366732,88,271.86343868393783,271.86343868393783,5.437268773678756,30,,,,
9,banana,rare,29,29,1,0,8.0677800000000000,1210.167,150,150,6,1922,0,13470,10642,10,2.691240831493426,2.691240831493426,0.017941605543289506,77,,,,
11,basketball,common,29,29,1,0,3.0932180700094607,13078.126,4030,4228,22,91.8,0,1056989,580519,524,412.7270645272032,412.7270645272032,0.10241366365439285,25,,,,
12,beachball,common,29,21,1,0,3.6146733352386396,12647.742,3265,3499,30,98,0,146857,69600,61,154.6111237141554,154.6111237141554,0.04735409608396797,41,,,,
13,bomb,uncommon,29,24,1,0,5.3599766666666667,3215.986,600,600,13,1667.600000000000000000,2,9476089,6148145,1556,2623.7576318435727,2623.7576318435727,4.372929386405954,5,300.000000000000000000,343,,
14,shades,epic,29,29,1,0,15.2126800000000000,760.634,50,50,13,9746.02857142857,0,883999,781529,136,434.1703660567679,434.1703660567679,8.683407321135357,24,,,,
15,bowling,common,29,29,1,0,2.9872760000000000,5974.552,1998,2000,16,162,0,144087,141788,31,16.627731266152736,16.627731266152736,0.008322187820897265,66,,,,
17,ninja,rare,29,29,1,0,10.5299700000000000,1052.997,100,100,12,4060.000000000000000000,0,11960,11960,2,2.550993846013003,2.550993846013003,0.025509938460130027,78,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7759000000000000,1466.385,150,150,6,9320.000000000000000000,0,530934,530934,150,268.09978500126937,268.09978500126937,1.7873319000084624,31,,,,
19,button,common,29,29,1,0,3.8387468544038346,12813.737,3081,3338,15,110,1,687046,323091,197,587.2273893550841,587.2273893550841,0.19059636136159822,17,,,,
20,cat,uncommon,29,29,1,0,5.2945166666666667,3176.710,600,600,20,980.000000000000000000,0,846260,841208,295,326.4664470256723,326.4664470256723,0.5441107450427872,27,,,,
21,cherry,rare,29,29,1,0,10.2633300000000000,1026.333,98,100,26,3300.000000000000000000,0,83639,83639,40,19.94926530037862,19.94926530037862,0.20356393163651654,63,,,,
22,egg,rare,29,29,1,0,13.9936900000000000,1399.369,100,100,9,8500,2,2464889,2330440,384,1709.7629561824717,1709.7629561824717,17.097629561824718,7,,,,
23,coconut,rare,29,24,1,0,7.0439154929577465,2000.472,272,284,12,1550,0,258124,139326,86,125.89800678847902,125.89800678847902,0.4628603190752905,42,,,,
24,cute,uncommon,29,29,1,0,5.7199875690607735,4141.271,707,724,7,495,0,39633,39633,21,9.352812478778608,9.352812478778608,0.013228871964326178,69,,,,
25,devil,epic,29,24,1,0,14.8149146341463415,1214.823,81,82,27,11699.600000000000000000,1,3304283,2903037,1125,984.4965149429727,984.4965149429727,12.154277962258922,11,,,,
26,revolver,uncommon,29,29,1,0,4.1401916666666667,2484.115,600,600,30,650.000000000000000000,0,170410,173719,80,108.41118213405065,108.41118213405065,0.18068530355675108,44,,,,
27,disguise,epic,29,29,1,0,12.3890135135135135,916.787,73,74,6,7380.000000000000000000,1,499796,241564,156,451.80675176729176,451.80675176729176,6.189133585853312,23,,,,
28,dog,uncommon,29,29,1,0,5.0507533333333333,3030.452,600,600,33,500.000000000000000000,0,135074,135074,64,26.13166183389816,26.13166183389816,0.043552769723163604,59,,,,
29,donut,uncommon,29,29,1,0,5.5131514745308311,4112.811,686,746,32,324.188571428571420000,0,300009,165477,114,75.46180623963724,75.46180623963724,0.11000263300238665,48,,,,
30,baseball,epic,29,29,1,0,9.6983714285714286,678.886,69,70,25,6718.800000000000000000,0,,,,,,,85,,,,
31,bowie,rare,29,29,1,0,7.8885474683544304,2492.781,312,316,31,1314.000000000000000000,0,138110,76094,44,31.371869385534342,31.371869385534342,0.10055086341517418,55,,,,
32,eyeball,rare,29,17,1,0,7.0260486111111111,2023.502,275,288,16,1460.000000000000000000,0,,,,,,,86,,,,
33,eyeball2,epic,29,29,1,0,10.5322933333333333,789.922,71,75,14,5690.000000000000000000,0,,,,,,,87,,,,
34,discoball,epic,29,29,1,0,14.1699622641509434,751.008,53,53,9,8000,1,1319606,807747,287,492.5378380100661,492.5378380100661,9.293166754906908,21,,,,
35,fishcake,uncommon,29,29,1,0,5.3523803009575923,3912.590,681,731,5,401.000000000000000000,0,2856,2856,4,0.589962640882946,0.589962640882946,0.0008663181217077034,83,,,,
36,floater,rare,29,29,1,0,8.5564133333333333,1283.462,150,150,13,2920.000000000000000000,0,990,990,3,0.05955846480792348,0.05955846480792348,0.00039705643205282317,84,,,,
37,fox,uncommon,29,29,1,0,6.0468896020539153,4710.527,707,779,29,366.000000000000000000,0,10941,10941,11,3.1951824581413106,3.1951824581413106,0.0045193528403696046,76,,,,
38,fox777,legendary,29,29,1,0,31.8531428571428571,445.944,14,14,14,104100.000000000000000000,0,211622,211622,72,28.954054015398608,28.954054015398608,2.068146715385615,57,,,,
40,gamer,rare,29,29,1,0,10.3615100000000000,1036.151,99,100,5,5000,0,455383,455383,151,229.4994738335242,229.4994738335242,2.318176503368931,34,,,,
