id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,ZonePrize,RankPrize,bets,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,28.3477000000000000,283.477,10,10,7,58985.714285714284000000,0,12050,12050,6,1.424628937718763,1.424628937718763,0.14246289377187632,78,,,,
4,8ball,common,29,29,1,0,4.2220578859060403,15098.079,3307,3576,25,100,0,174268,174268,131,33.12843140988436,33.12843140988436,0.01001766900812953,55,,,,
7,alien,common,29,29,1,0,4.7261870000000000,9452.374,2000,2000,18,170,0,99556,99556,93,22.541367339674466,22.541367339674466,0.011270683669837233,61,,,,
8,angel,epic,29,29,1,0,15.3536000000000000,767.680,50,50,28,9000.000000000000000000,0,49324,49324,16,4.685947868231705,4.685947868231705,0.09371895736463409,71,,,,
9,banana,rare,29,29,1,0,8.0852733333333333,1212.791,150,150,26,1922,0,14157,14157,10,1.7904671038205642,1.7904671038205642,0.01193644735880376,75,,,,
11,basketball,common,29,29,1,0,3.1007762535477767,13110.082,4030,4228,28,94.7,0,347936,203795,131,33.175565961670124,33.175565961670124,0.008232150362697302,54,,,,
12,beachball,common,29,29,1,0,3.6104139016018307,12622.007,3262,3496,12,92,0,13015,13015,12,1.678100903416544,1.678100903416544,0.0005144392714336431,76,,,,
13,bomb,uncommon,29,29,1,0,5.3728216666666667,3223.693,600,600,21,2100,7,11549662,8286120,1785,5679.101947401545,8679.101947401545,14.465169912335908,1,1000,3000,300.000000000000000000,483.3333333333333
14,shades,epic,29,29,1,0,15.2759600000000000,763.798,50,50,33,9746.02857142857,0,1643149,1537415,160,703.1864109327881,703.1864109327881,14.063728218655763,15,,,,
15,bowling,common,29,29,1,0,3.0070575000000000,6014.115,1998,2000,25,181.000000000000000000,0,287222,287222,35,202.6867253830006,202.6867253830006,0.1014448074989993,37,,,,
17,ninja,rare,29,24,1,0,10.5588700000000000,1055.887,100,100,26,4120.000000000000000000,1,1350684,851356,317,636.6672890538787,636.6672890538787,6.366672890538787,17,,,,
