id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,bets,ZonePrize,RankPrize,BetPrize
2,spy,legendary,29,29,1,300.000000000000000000,28.6635000000000000,286.635,10,10,23,61918.914285714284000000,0,4997816,4163945,1031,979.2610666393308,979.2610666393308,97.92610666393308,13,,,,
4,8ball,common,29,29,1,0,4.2226182885906040,15100.083,3307,3576,15,85.200000000000000000,0,209831,209204,133,40.252878611605865,40.252878611605865,0.012172022561719342,55,,,,
7,alien,common,29,29,1,0,4.7224375000000000,9444.875,2000,2000,14,166.000000000000000000,0,40738,40738,18,6.733602139575538,6.733602139575538,0.003366801069787769,70,,,,
8,angel,epic,29,29,1,0,15.3591000000000000,767.955,50,50,30,9000.000000000000000000,0,128322,128322,20,112.11010625033641,112.11010625033641,2.2422021250067283,44,,,,
9,banana,rare,29,29,1,0,8.0923200000000000,1213.848,150,150,7,1948.400000000000000000,0,583608,302701,162,106.03001750040528,106.03001750040528,0.7068667833360351,45,,,,
11,basketball,common,29,29,1,0,3.1028062913907285,13118.665,4030,4228,24,91.000000000000000000,0,226223,226223,68,112.33891474169542,112.33891474169542,0.02787566122622715,43,,,,
12,beachball,common,29,29,1,0,3.6107128146453089,12623.052,3262,3496,33,88.600000000000000000,0,17235,8465,4,5.34841165025024,5.34841165025024,0.0016396111742030166,72,,,,
13,bomb,uncommon,29,29,1,0,5.3874583333333333,3232.475,600,600,12,2100,0,865475,871966,287,138.48124950708274,138.48124950708274,0.23080208251180456,39,300.000000000000000000,,,
14,shades,epic,29,29,1,0,15.3524400000000000,767.622,50,50,13,9315.605714285714000000,3,6178695,5596529,433,2955.031947164385,2955.031947164385,59.100638943287706,4,,,,
15,bowling,common,29,29,1,0,3.0101755000000000,6020.351,1998,2000,16,166.000000000000000000,0,14865,14865,13,2.1963768431049977,2.1963768431049977,0.0010992877092617607,79,,,,
17,ninja,rare,29,29,1,0,10.5624300000000000,1056.243,100,100,20,4000.000000000000000000,0,24846,13022,7,3.222485709023907,3.222485709023907,0.03222485709023907,75,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7886266666666667,1468.294,150,150,7,5000,0,2854974,2276548,379,824.9036406076581,824.9036406076581,5.4993576040510534,16,,,,
19,button,common,29,29,1,0,3.8390833083608031,12811.021,3080,3337,30,86.400000000000000000,0,93332,93332,53,18.082908789593496,18.082908789593496,0.00587107428233555,61,,,,
20,cat,uncommon,29,24,1,0,5.4229500000000000,3253.770,600,600,32,1245.000000000000000000,0,1085978,878905,390,1224.125913058668,1224.125913058668,2.04020985509778,10,,,,
21,cherry,rare,29,29,1,0,10.2668600000000000,1026.686,98,100,10,3300.000000000000000000,0,81027,81027,27,18.194435653141397,18.194435653141397,0.18565750666470815,60,,,,
22,egg,rare,29,29,1,0,14.0129900000000000,1401.299,100,100,10,8500,1,1944275,1546261,359,728.8636826333923,728.8636826333923,7.2886368263339225,20,,,,
23,coconut,rare,29,29,1,0,7.0219257950530035,1987.205,271,283,6,1550,0,428566,204079,79,33.42761663210072,33.42761663210072,0.1233491388638403,57,,,,
24,cute,uncommon,29,24,1,0,5.7235082872928177,4143.820,707,724,13,447,1,3032894,1374761,287,887.898448031721,887.898448031721,1.2558676775554753,14,,,,
25,devil,epic,29,24,1,0,15.0963780487804878,1237.903,81,82,19,11499.600000000000000000,1,1779544,1668664,584,830.5151398224644,830.5151398224644,10.253273331141536,15,,,,
26,revolver,uncommon,29,29,1,0,4.1456900000000000,2487.414,600,600,31,599,0,2634927,1608625,500,660.7744172059864,660.7744172059864,1.1012906953433108,21,,,,
27,disguise,epic,29,29,1,0,12.4006891891891892,917.651,73,74,20,7380.000000000000000000,0,3809,3809,3,0.49402109255703375,0.49402109255703375,0.006767412226808682,83,,,,
28,dog,uncommon,29,29,1,0,5.0530466666666667,3031.828,600,600,3,549,0,16224,16224,11,1.5525332776598249,1.5525332776598249,0.0025875554627663748,81,,,,
29,donut,uncommon,29,24,1,0,5.5161286863270777,4115.032,686,746,5,404,0,431656,252851,79,72.80895177613104,72.80895177613104,0.10613549821593446,49,,,,
30,baseball,epic,29,29,1,0,9.7012428571428571,679.087,69,70,5,6718.800000000000000000,0,,,,,,,86,,,,
31,bowie,rare,29,29,1,0,7.8911993670886076,2493.619,312,316,16,1600,0,218597,218597,96,23.949123728641137,23.949123728641137,0.07676001195077288,59,,,,
32,eyeball,rare,29,17,1,0,7.0327256944444444,2025.425,275,288,3,1408.000000000000000000,0,,,,,,,87,,,,
33,eyeball2,epic,29,29,1,0,10.5332000000000000,789.990,71,75,14,5690.000000000000000000,0,1323,1323,1,0.21867925844809363,0.21867925844809363,0.0030799895556069524,85,,,,
34,discoball,epic,29,29,1,0,14.4054339622641509,763.488,53,53,11,6231.000000000000000000,0,2017442,1023044,254,292.93757481147077,292.93757481147077,5.527124053046618,30,,,,
35,fishcake,uncommon,29,29,1,0,5.3537099863201094,3913.562,681,731,9,370.000000000000000000,0,22101,22101,13,2.8405342503886906,2.8405342503886906,0.004171122247266799,77,,,,
36,floater,rare,29,29,1,0,8.5644733333333333,1284.671,150,150,32,2519.600000000000000000,0,11311,11311,6,2.9689936641393597,2.9689936641393597,0.019793291094262398,76,,,,
37,fox,uncommon,29,24,1,0,6.0503119383825417,4713.193,707,779,17,399,0,16709,16709,21,2.3887605953072586,2.3887605953072586,0.003378727857577452,78,,,,
38,fox777,legendary,29,29,1,0,31.8792142857142857,446.309,14,14,7,104100.000000000000000000,0,341502,341502,65,57.681018449063934,57.681018449063934,4.12007274636171,51,,,,
40,gamer,rare,29,29,1,0,10.3742400000000000,1037.424,99,100,5,4000,1,1000237,635475,169,602.48177322547,602.48177322547,6.085674477024949,23,,,,
41,xmasball,epic,29,29,1,0,10.8099666666666667,648.598,60,60,12,8005.000000000000000000,0,86934,86934,41,4.8986655035830164,4.8986655035830164,0.08164442505971695,73,,,,
42,derp,uncommon,29,29,1,0,7.0994809523809524,2981.782,420,420,33,1350.000000000000000000,0,20638,20638,11,6.404439781715372,6.404439781715372,0.015248666146941363,71,,,,
43,moneybag,legendary,29,29,1,0,19.2390000000000000,192.390,10,10,13,41000.138000000000000000,0,91525,91525,45,12.237127594169433,12.237127594169433,1.2237127594169432,66,,,,
44,moon,uncommon,29,24,1,0,6.2276966666666667,3736.618,600,600,15,5750,0,1891459,1670284,535,476.19452144236107,476.19452144236107,0.7936575357372685,25,,,,
45,bull,uncommon,29,29,1,0,6.3826891191709845,4927.436,738,772,8,516.000000000000000000,0,591866,405666,149,104.76893031761311,104.76893031761311,0.1419633202135679,46,,,,
46,opencan,uncommon,29,29,1,0,5.0159783333333333,3009.587,600,600,14,466.000000000000000000,0,22421,21882,9,6.898667366642757,6.898667366642757,0.011497778944404595,69,,,,
47,candyswirl,rare,29,29,1,0,11.7057800000000000,1170.578,100,100,23,7100.000000000000000000,0,575974,574424,233,68.25856532357773,68.25856532357773,0.6825856532357772,50,,,,
48,royman,epic,29,29,1,0,12.5607800000000000,628.039,50,50,29,6893.800000000000000000,0,2629,2629,1,0.41144837514303734,0.41144837514303734,0.008228967502860746,84,,,,
49,panda,uncommon,29,29,1,0,5.5100283333333333,3306.017,599,600,10,537,0,298025,298025,70,57.35285723589904,57.35285723589904,0.09574767485125048,52,,,,
50,melon,rare,29,29,1,0,7.0439293680297398,1894.817,265,269,27,1600,0,251998,251998,36,129.60467748755167,129.60467748755167,0.4890742546700063,41,,,,
51,casinochip,uncommon,29,29,1,0,5.3812916666666667,3228.775,600,600,22,2400,0,2717272,2157034,560,1667.4799023735723,1667.4799023735723,2.7791331706226203,7,,,,
52,pizza,rare,29,29,1,0,8.7874933333333333,1318.124,150,150,23,2225,1,3615269,2273754,495,1890.7287923073666,1890.7287923073666,12.604858615382444,6,,,,
53,jackolantern,rare,29,29,1,0,9.8314600000000000,1474.719,150,150,25,1850,0,230975,229602,64,154.69789459394423,154.69789459394423,1.0313192972929615,37,,,,
54,waffle,uncommon,29,29,1,0,5.1750935350756534,3762.293,678,727,10,400,0,196469,96403,44,114.80420273319817,114.80420273319817,0.16932773264483506,42,,,,
55,saturn,common,29,24,1,0,3.7611460000000000,7522.292,1996,2000,12,210,0,132503,132503,65,7.466444374137396,7.466444374137396,0.003740703594257212,67,,,,
56,marble,rare,29,29,1,0,7.5280699300699301,2153.028,277,286,3,1400,0,314325,314325,46,30.078896850371326,30.078896850371326,0.10858807527209866,58,,,,
57,skull,uncommon,29,29,1,0,6.5837193251533742,4292.585,650,652,14,830,0,541036,541036,179,89.42808108369069,89.42808108369069,0.13758166320567797,47,,,,
58,skullpatch,rare,29,24,1,0,9.1900266666666667,1378.504,150,150,15,1850,0,294631,294631,239,156.3684131629725,156.3684131629725,1.04245608775315,36,,,,
59,football,common,29,21,1,0,4.2475810000000000,8495.162,1997,2000,33,1150.000000000000000000,7,12218333,11097785,2247,5921.308120842893,6921.308120842893,3.465852839680968,2,1100.000000000000000000,1000,1000,163.1818181818182
60,starballoon,common,29,29,1,0,3.4763093877551020,12775.437,3412,3676,26,86.600000000000000000,0,49084,49084,28,13.740619585938871,13.740619585938871,0.004027145247930502,63,,,,
61,tamagochi,epic,29,29,1,0,12.1216578947368421,921.246,76,76,32,6612.379047619047600000,0,27006,27006,2,7.088731579325217,7.088731579325217,0.0932727839384897,68,,,,
62,target,uncommon,29,29,1,0,5.0494557640750670,3766.894,711,746,30,419,0,82945,37702,19,16.070446037295167,16.070446037295167,0.022602596395633147,62,,,,
64,tomato,uncommon,29,29,1,0,5.0414139290407359,3836.516,739,761,14,430,0,12784,12784,9,2.113073046107656,2.113073046107656,0.002859368127344595,80,,,,
65,volleyball,common,29,29,1,0,3.1155090000000000,6231.018,2000,2000,6,220,1,1722065,1292343,376,774.4264104361317,774.4264104361317,0.38721320521806585,17,,,,
66,racoon,uncommon,29,29,1,0,6.3620295250320924,4956.021,733,779,23,370.000000000000000000,0,38826,38826,30,4.727399091454988,4.727399091454988,0.006449384845095481,74,,,,
67,peach,rare,29,29,1,0,10.2943800000000000,1029.438,100,100,6,4475,0,463700,463700,160,36.16802507036281,36.16802507036281,0.3616802507036281,56,,,,
68,watermelon,uncommon,29,24,1,0,4.3338900000000000,2600.334,600,600,3,599.200000000000000000,0,2265798,2066088,795,628.5964400114298,628.5964400114298,1.0476607333523829,22,,,,
69,citrus,epic,29,29,1,0,15.7645600000000000,788.228,50,50,25,7015.400000000000000000,0,274605,140751,67,223.69286051663332,223.69286051663332,4.473857210332667,34,,,,
70,potion,epic,29,29,1,0,14.0806000000000000,704.030,50,50,8,9300.000000000000000000,0,3060,3060,2,0.5416647125732785,0.5416647125732785,0.01083329425146557,82,,,,
71,crlogo,legendary,29,24,1,0,35.7273000000000000,357.273,10,10,7,72464.800000000000000000,0,5535125,4976877,671,2335.584587649959,2335.584587649959,233.5584587649959,5,200.000000000000000000,,,169
72,yinyang,uncommon,29,29,1,0,5.4861636363636364,3922.607,687,715,18,370.000000000000000000,0,184302,103085,47,45.75013980632823,45.75013980632823,0.06659408996554327,54,,,,
73,waffle2,legendary,29,29,1,0,17.7751111111111111,319.952,18,18,8,40000,0,750615,750615,99,314.6177702231166,314.6177702231166,17.478765012395368,28,,,,
74,snowman,epic,29,29,1,0,12.5530800000000000,627.654,50,50,9,6780.000000000000000000,1,598511,392915,134,476.25847472824654,476.25847472824654,9.525169494564931,24,,,,
75,crosshair,common,17,29,1,0,3.6024120000000000,7204.824,2000,2000,6,1050,7,10910734,8520833,2727,6536.382044126759,9536.38204412676,4.76819102206338,1,,,3000,
76,xmasball2,common,29,24,1,0,3.3882111613876320,13478.304,3758,3978,18,55,0,393660,393660,158,85.50164202385591,85.50164202385591,0.022751900485326212,48,,,,
77,xmasball1,rare,29,29,1,100.000000000000000000,11.5079100000000000,1150.791,100,100,17,3638.800000000000000000,1,3237653,1638577,66,758.5227856891177,758.5227856891177,7.585227856891176,19,,,,
78,vase,common,29,29,1,0,2.5365647176411794,5075.666,2000,2000,4,170,1,2780951,2037975,638,762.8904508920276,762.8904508920276,0.3814452254460138,18,,,,
79,ufo,uncommon,29,29,1,0,5.9581833333333333,3574.910,600,600,22,2000,0,1214840,1214840,166,255.95214527158035,255.95214527158035,0.4265869087859672,31,,,,
80,wheeee,rare,29,24,1,0,9.0192933333333333,1352.894,150,150,5,4211.400000000000000000,0,605788,605788,165,323.3299740743179,323.3299740743179,2.1555331604954526,27,,,,
81,owl,epic,29,29,1,200.000000000000000000,17.5724800000000000,878.624,50,50,10,16800.000000000000000000,0,65482,65482,15,12.483956858652283,12.483956858652283,0.24967913717304566,65,,,,
83,ape,epic,29,24,1,0,16.9987000000000000,849.935,50,50,12,11400,0,1100636,603334,98,143.9551426371993,143.9551426371993,2.8791028527439857,38,,,,
84,ghost,epic,29,19,1,0,23.4273600000000000,1171.368,50,50,17,50100.000000000000000000,2,5292471,5263412,1162,1649.2064989543683,1649.2064989543683,32.98412997908736,8,100.000000000000000000,,,
85,diver,rare,29,29,1,0,8.3318133333333333,1249.772,150,150,30,6800.000000000000000000,0,4523889,4523778,754,1625.8111260248716,1625.8111260248716,10.83874084016581,9,,,,
86,cobra,legendary,29,29,1,0,34.4628000000000000,344.628,10,10,7,72500,0,1426705,1426705,409,433.140072946263,433.140072946263,43.3140072946263,26,,,,
87,clock,common,29,29,1,0,2.4733090000000000,4946.618,2000,2000,24,190.000000000000000000,0,1345158,705009,178,308.0885373948975,308.0885373948975,0.15404426869744875,29,,,,
