id,name,rarity,multiplier,merc_multiplier,boost,staked,AverageSkinPower,TotalSkinPower,Supply,MaxSupply,attacking,market_price,zones,VictoryPoints,vp_no_zones,wins,Prize,TotalPrize,PrizePerSkin,ranking,RankPrize,bets,BetPrize,ZonePrize
2,spy,legendary,29,29,1,300.000000000000000000,28.6758000000000000,286.758,10,10,12,61918.914285714284000000,0,666058,579515,195,206.37994172565828,206.37994172565828,20.63799417256583,36,,,,
4,8ball,common,29,29,1,0,4.2226448545861298,15100.178,3307,3576,15,85.200000000000000000,0,140087,140087,94,31.48342067173118,31.48342067173118,0.009520236066444265,53,,,,
7,alien,common,29,29,1,0,4.7225005000000000,9445.001,2000,2000,18,166.000000000000000000,0,457629,230893,122,167.63364762740724,167.63364762740724,0.08381682381370362,40,,,,
8,angel,epic,29,29,1,0,15.3591600000000000,767.958,50,50,30,9000.000000000000000000,0,23524,23524,10,2.6973746276235584,2.6973746276235584,0.053947492552471166,70,,,,
9,banana,rare,29,29,1,0,8.0924000000000000,1213.860,150,150,4,1808.400000000000000000,0,15465,15465,11,1.8042840461851972,1.8042840461851972,0.012028560307901314,74,,,,
11,basketball,common,29,29,1,0,3.1028878902554399,13119.010,4030,4228,24,91.5,0,92972,92972,47,13.395048224974625,13.395048224974625,0.003323833306445316,61,,,,
12,beachball,common,29,29,1,0,3.6107159610983982,12623.063,3262,3496,16,86.200000000000000000,0,14385,7083,6,4.138405194481335,4.138405194481335,0.0012686711203192319,67,,,,
13,bomb,uncommon,29,29,1,0,5.3908383333333333,3234.503,600,600,8,2100,4,10217556,8254917,1066,4743.976845166659,5243.976845166659,8.739961408611098,3,500,100.000000000000000000,424,
14,shades,epic,29,29,1,0,15.3595400000000000,767.977,50,50,13,9315.605714285714000000,2,6140434,5205711,481,2977.871895684647,2977.871895684647,59.55743791369294,6,,100.000000000000000000,,
15,bowling,common,29,24,1,0,3.0102905000000000,6020.581,1998,2000,27,176.000000000000000000,0,349037,169107,74,184.60426487336952,184.60426487336952,0.0923945269636484,38,,,,
17,ninja,rare,29,29,1,0,10.5637400000000000,1056.374,100,100,21,4000.000000000000000000,0,13304,11824,10,2.1085361042710775,2.1085361042710775,0.021085361042710776,73,,,,
18,burger,rare,29,29,1,300.000000000000000000,9.7902066666666667,1468.531,150,150,14,5000,0,1661831,1661765,337,264.63842140414164,264.63842140414164,1.7642561426942776,31,,,,
19,button,common,29,29,1,0,3.8394003596044351,12812.079,3080,3337,25,88,0,823686,435352,204,169.6449737889235,169.6449737889235,0.05507953694445568,39,,,,
20,cat,uncommon,29,29,1,0,5.4252866666666667,3255.172,600,600,32,1245.000000000000000000,0,486807,408682,170,777.3822982021203,777.3822982021203,1.2956371636702004,14,,,,
21,cherry,rare,29,29,1,0,10.2670400000000000,1026.704,98,100,10,3300.000000000000000000,0,194633,194633,82,34.46377673155058,34.46377673155058,0.3516711911382712,52,,,,
22,egg,rare,29,29,1,0,14.0134900000000000,1401.349,100,100,10,8500,0,736333,720708,186,299.2621854780884,299.2621854780884,2.992621854780884,29,,,,
23,coconut,rare,29,29,1,0,7.0222049469964664,1987.284,271,283,8,1550,0,502920,243309,65,75.28886871727245,75.28886871727245,0.2778187037537729,49,,,,
24,cute,uncommon,29,29,1,0,5.7235151933701657,4143.825,707,724,13,447,0,6243,3391,2,0.8180559465047366,0.8180559465047366,0.0011570805466827956,81,,,,
25,devil,epic,29,29,1,0,15.0994390243902439,1238.154,81,82,16,11499.600000000000000000,1,1029584,1020579,398,578.3835380920688,578.3835380920688,7.1405375073094906,21,,,,
26,revolver,uncommon,29,29,1,0,4.1458933333333333,2487.536,600,600,29,599,0,554740,553652,217,126.18102448993784,126.18102448993784,0.21030170748322974,48,,,,
27,disguise,epic,29,29,1,0,12.4007837837837838,917.658,73,74,20,7380.000000000000000000,0,22293,22293,11,4.6190836820398005,4.6190836820398005,0.06327511893205207,66,,,,
28,dog,uncommon,29,29,1,0,5.0530683333333333,3031.841,600,600,3,549,0,5289,5289,4,1.2102457588748163,1.2102457588748163,0.0020170762647913607,79,,,,
29,donut,uncommon,29,24,1,0,5.5161394101876676,4115.040,686,746,5,404,0,29987,29987,16,3.1195357878751744,3.1195357878751744,0.004547428262208709,69,,,,
30,baseball,epic,29,29,1,0,9.7012714285714286,679.089,69,70,5,6718.800000000000000000,0,13048,13048,3,1.3573782959347476,1.3573782959347476,0.019672149216445618,77,,,,
31,bowie,rare,29,29,1,0,7.8914462025316456,2493.697,312,316,26,1555,0,142609,142609,50,21.703028078869718,21.703028078869718,0.06956098743227473,56,,,,
32,eyeball,rare,29,17,1,0,7.0327256944444444,2025.425,275,288,3,1408.000000000000000000,0,,,,,,,85,,,,
33,eyeball2,epic,29,29,1,0,10.5332000000000000,789.990,71,75,14,5690.000000000000000000,0,,,,,,,86,,,,
34,discoball,epic,29,24,1,0,14.4118867924528302,763.830,53,53,31,6231.000000000000000000,0,990544,497280,230,648.0337451975807,648.0337451975807,12.227051796180769,16,,,,
35,fishcake,uncommon,29,29,1,0,5.3537387140902873,3913.583,681,731,16,370.000000000000000000,0,4464,4464,7,1.2842433637931652,1.2842433637931652,0.001885819917464266,78,,,,
36,floater,rare,29,29,1,0,8.5645200000000000,1284.678,150,150,10,2000,0,7642,3772,4,1.361546256661597,1.361546256661597,0.009076975044410646,76,,,,
37,fox,uncommon,29,24,1,0,6.0503324775353017,4713.209,707,779,17,395,0,10673,10673,10,1.091258697297449,1.091258697297449,0.0015435059367714977,80,,,,
38,fox777,legendary,29,29,1,0,31.8846428571428571,446.385,14,14,28,104100.000000000000000000,0,1289880,793850,315,479.73425077115854,479.73425077115854,34.266732197939895,24,,,,
40,gamer,rare,24,29,1,0,10.3814200000000000,1038.142,99,100,29,4000,0,1919379,1270172,331,496.97988092466784,496.97988092466784,5.019998797218867,23,,,,
41,xmasball,epic,29,29,1,0,10.8101500000000000,648.609,60,60,12,8005.000000000000000000,0,93729,93729,51,19.017067898743424,19.017067898743424,0.31695113164572375,59,,,,
42,derp,uncommon,29,29,1,0,7.0995238095238095,2981.800,420,420,33,1350.000000000000000000,0,186173,186173,53,20.661298135495617,20.661298135495617,0.04919356698927528,58,,,,
43,moneybag,legendary,29,29,1,0,19.2401000000000000,192.401,10,10,13,41000.138000000000000000,0,81768,81768,28,10.714528052827053,10.714528052827053,1.0714528052827053,62,,,,
44,moon,uncommon,29,24,1,0,6.2287450000000000,3737.247,600,600,23,5750,0,984810,955588,300,242.6420815080197,242.6420815080197,0.40440346918003284,33,,,,
45,bull,uncommon,29,29,1,0,6.3833963730569948,4927.982,738,772,32,522.000000000000000000,0,996902,648181,196,550.1483950075942,550.1483950075942,0.7454585298205884,22,,,,
46,opencan,uncommon,29,29,1,0,5.0164366666666667,3009.862,600,600,7,500.400000000000000000,1,3585587,2112897,465,1430.2939676020126,1430.2939676020126,2.3838232793366876,8,,,,
47,candyswirl,rare,29,21,1,0,11.7077400000000000,1170.774,100,100,17,6555,0,3020839,2001724,588,292.38508443185356,292.38508443185356,2.9238508443185354,30,,,,
48,royman,epic,29,29,1,0,12.5607800000000000,628.039,50,50,29,6893.800000000000000000,0,,,,,,,87,,,,
49,panda,uncommon,29,29,1,0,5.5103600000000000,3306.216,599,600,10,525,0,587495,587495,125,224.66765058543388,224.66765058543388,0.37507120298069097,35,,,,
50,melon,rare,29,29,1,0,7.0440408921933086,1894.847,265,269,27,1600,0,573430,573430,69,305.7353458541121,305.7353458541121,1.1537182862419324,27,,,,
51,casinochip,uncommon,29,24,1,0,5.3822283333333333,3229.337,600,600,23,2400,0,3884110,2813666,793,964.5341513321978,964.5341513321978,1.6075569188869963,10,,,,
52,pizza,rare,29,29,1,0,8.7884866666666667,1318.273,150,150,13,2500,1,2544512,1710767,399,836.1531452087798,836.1531452087798,5.574354301391866,12,,,,
53,jackolantern,rare,29,29,1,0,9.8317800000000000,1474.767,150,150,11,1920.000000000000000000,0,236659,155105,78,192.01520082492806,192.01520082492806,1.2801013388328537,37,,,,
54,waffle,uncommon,29,29,1,0,5.1751568088033012,3762.339,678,727,10,400,0,14428,14428,14,2.570582228619932,2.570582228619932,0.0037914192162535865,71,,,,
