id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
42612,uncommon,3000,bomb,bomb,,2023-01-19T10:49:54.716Z,600,600,131,23383,7441,779.23,1730
51077,uncommon,9300,ufo,ufo,,2023-01-21T18:45:45.563Z,600,600,140,12027,6359,256.42,0
50716,uncommon,20000,ufo,ufo,,2023-01-21T13:57:38.891Z,600,600,30,18425,9550,9567.18,72950
46501,uncommon,1850,bomb,bomb,,2023-01-20T18:20:43.673Z,600,600,155,409,175,7.64,0
41947,common,900,football,football,,2023-01-20T19:13:18.081Z,2000,2000,167,433,184,5.02,0
52729,uncommon,4900,ufo,ufo,,2023-01-21T15:32:36.473Z,600,600,400,4176,2587,1230.31,0
60476,uncommon,1700,bomb,bomb,,2023-01-19T23:27:55.587Z,600,600,488,307,132,2.40,1250
64368,common,900,football,football,,2023-01-21T11:30:37.854Z,2000,2000,1435,11,3,0,0
51293,uncommon,3300,ufo,ufo,,2023-01-20T03:11:19.502Z,600,600,192,83,54,2.38,0
41303,uncommon,1300,bomb,bomb,,2023-01-18T23:25:47.541Z,600,600,43,2013,877,367.46,0
52855,uncommon,3100,ufo,ufo,,2023-01-21T15:50:54.453Z,600,600,418,265,130,0,0
58159,uncommon,1142.86,bomb,bomb,,2023-01-19T09:09:24.792Z,600,600,380,56,29,1.39,0
53086,uncommon,5250,ufo,ufo,,2023-01-21T13:13:12.074Z,600,600,431,3114,1301,50.28,2970
59773,uncommon,5500,moon,moon,,2023-01-20T11:43:29.032Z,600,600,528,43,29,0,0
54639,uncommon,19500,ufo,ufo,,2023-01-21T10:38:20.398Z,600,600,542,42992,21479,12109.21,32890
53830,common,880,football,football,,2023-01-21T00:09:50.760Z,2000,2000,974,21,8,0.66,0
60630,uncommon,3500,bomb,bomb,,2023-01-21T12:32:03.184Z,600,600,518,1507,825,0.4,0
65279,common,3400,football,football,,2023-01-21T12:03:36.357Z,2000,2000,1826,1824,1198,148.01,9030
65278,common,895,football,football,,2023-01-21T13:46:55.914Z,2000,2000,1825,0,0,0,0
54606,uncommon,8700,ufo,ufo,,2023-01-21T18:14:48.536Z,600,600,539,5092,2000,714.43,3320
58007,common,880,football,football,,2023-01-21T00:09:47.947Z,2000,2000,1086,13,8,0,0
51521,uncommon,8000,ufo,ufo,,2023-01-21T15:36:37.885Z,600,600,238,15258,7363,1788.28,15300
68547,common,1700,football,football,,2023-01-21T14:41:37.930Z,2000,2000,2014,9,3,0,2570
51037,uncommon,20000,ufo,ufo,,2023-01-21T10:38:25.225Z,600,600,121,31008,17844,10088.14,36760
