rarity,name,date,on_sale_price
uncommon,moon,2022-12-07-22-05-46,12000
uncommon,ufo,2022-12-07-22-05-46,16500
uncommon,moon,2022-12-07-22-12-14,18000
uncommon,ufo,2022-12-07-22-12-14,3800
uncommon,moon,2022-12-07-22-30-09,20000
uncommon,ufo,2022-12-07-22-30-09,3800
uncommon,moon,2022-12-07-22-42-37,20000
uncommon,ufo,2022-12-07-22-42-37,3800
uncommon,moon,2022-12-07-22-55-17,20000
uncommon,ufo,2022-12-07-22-55-17,3800
uncommon,moon,2022-12-07-23-18-32,20000
uncommon,ufo,2022-12-07-23-18-32,3800
uncommon,moon,2022-12-07-23-31-26,20000
uncommon,ufo,2022-12-07-23-31-26,3800
uncommon,moon,2022-12-07-23-43-52,20000
uncommon,ufo,2022-12-07-23-43-52,3800
uncommon,moon,2022-12-07-23-56-27,20000
uncommon,ufo,2022-12-07-23-56-27,3800
uncommon,moon,2022-12-08-01-46-08,20000
uncommon,ufo,2022-12-08-01-46-08,3800
uncommon,moon,2022-12-08-02-38-41,20000
uncommon,ufo,2022-12-08-02-38-41,3800
uncommon,moon,2022-12-08-03-01-58,20000
uncommon,ufo,2022-12-08-03-01-58,3800
uncommon,moon,2022-12-08-03-27-09,20000
uncommon,ufo,2022-12-08-03-27-09,3800
uncommon,moon,2022-12-08-03-41-46,20000
uncommon,ufo,2022-12-08-03-41-46,3800
uncommon,moon,2022-12-08-03-54-22,20000
uncommon,ufo,2022-12-08-03-54-22,3800
uncommon,moon,2022-12-08-04-22-04,20000
uncommon,ufo,2022-12-08-04-22-04,3800
uncommon,moon,2022-12-08-04-40-42,20000
uncommon,ufo,2022-12-08-04-40-42,3800
uncommon,moon,2022-12-08-04-53-15,20000
uncommon,ufo,2022-12-08-04-53-15,3800
uncommon,moon,2022-12-08-05-14-14,20000
uncommon,ufo,2022-12-08-05-14-14,3800
uncommon,moon,2022-12-08-05-29-30,20000
uncommon,ufo,2022-12-08-05-29-30,3800
uncommon,moon,2022-12-08-05-42-04,20000
uncommon,ufo,2022-12-08-05-42-04,3800
uncommon,moon,2022-12-08-05-54-32,20000
uncommon,ufo,2022-12-08-05-54-32,3800
uncommon,moon,2022-12-08-06-23-14,20000
uncommon,ufo,2022-12-08-06-23-14,3800
uncommon,moon,2022-12-08-06-41-25,20000
uncommon,ufo,2022-12-08-06-41-25,3800
uncommon,moon,2022-12-08-06-54-04,20000
uncommon,ufo,2022-12-08-06-54-04,3800
uncommon,moon,2022-12-08-07-15-07,20000
uncommon,ufo,2022-12-08-07-15-07,3800
uncommon,moon,2022-12-08-07-27-39,20000
uncommon,ufo,2022-12-08-07-27-39,3800
uncommon,bomb,2022-12-08-08-22-29,1000
uncommon,moon,2022-12-08-08-22-29,20000
uncommon,ufo,2022-12-08-08-22-29,3800
uncommon,bomb,2022-12-08-08-39-04,1000
uncommon,moon,2022-12-08-08-39-04,20000
uncommon,ufo,2022-12-08-08-39-04,3800
uncommon,bomb,2022-12-08-08-50-30,1000
uncommon,moon,2022-12-08-08-50-30,20000
uncommon,ufo,2022-12-08-08-50-30,3800
uncommon,bomb,2022-12-08-09-07-30,1000
uncommon,moon,2022-12-08-09-07-30,20000
uncommon,ufo,2022-12-08-09-07-30,3800
